Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVIDunavailable9,Public Services During COVIDunavailable9,Electronic Materials Added Due to COVIDunavailable9,Electronic Library Cards Issued Before COVIDunavailable9,Electronic Library Cards Issued During COVIDunavailable9,Reference Service During COVIDunavailable9,Outside Service During COVIDunavailable9,Live Virtual Programs During COVIDunavailable9,Recordings of Program Content During COVIDunavailable9,External WiFi Access Before COVIDunavailable9,External WiFi Access Added During COVIDunavailable9,External WiFi Access Increased During COVIDunavailable9,Staff Re-Assigned During COVIDunavailable9,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs (calculated),"# of Children's Programs - Live, In-person","# of Children's Programs - Live, Virtual",Children's Program Attendance,"Children's Program Attendance - Live, In-person","Children's Program Attendance - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,FSCS ID,Fiscal Year
BANNING LIBRARY DISTRICT,Riverside,Special District Library,School District (most nearly),Member of a Federation or Cooperative,School District,Inland Library System,21 W. NICOLET ST.,BANNING,92220,4607,(951) 849-3192,(951) 849-3192,http://www.banninglibrarydistrict.org/,306,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,"32,631","26,367","4,758",1,0,0,1,"9,583","$1,018,540 ",$0 ,$0 ,"$30,091 ","$1,048,631 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$447,087 ","$77,746 ","$524,833 ","$12,439 ","$2,254 ","$14,693 ","$12,056 ","$8,835 ","$35,584 ","$67,306 ","$627,723 ",$0 ,16,2,2,15,17,0,"16,766","2,614","59,275","437,207","1,955","111,283","3,498","40,298",0,0,0,76,"1,768","60,501",Annual Count,"4,173",Annual Count,"22,752","8,012",625,"5,418","7,197","12,615","28,170","35,367",0,8,185,,,"3,141",,,126,,,927,,,126,,,927,,,14,322,437,"4,995",17,206,17,Yes,"8,246","11,154","8,750",14,CA0167,19-20
BEAUMONT LIBRARY DISTRICT,Riverside,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Inland Library System,125 E. EIGHTH ST.,BEAUMONT,92223,2194,(951) 845-1357,(951) 845-1357,http://bld.lib.ca.us,60,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,"60,819","43,490","10,465",1,0,1,2,"11,697","$1,599,932 ","$356,772 ",$0 ,"$1,370 ","$1,958,074 ","$150,000 ",$0 ,$0 ,"$15,578 ","$165,578 ","$834,041 ","$318,511 ","$1,152,552 ","$62,841 ","$2,682 ","$65,523 ","$34,672 ","$14,563 ","$114,758 ","$315,511 ","$1,582,821 ","$5,980 ",21,7.25,7.25,5,12.25,1.25,"17,372","2,369","51,954","374,677",525,"90,449","7,570","17,616",12,4,16,28,unavailable,unavailable,Annual Count,"12,412",Annual Count,"106,134","47,156","2,200","10,105","51,319","61,424","116,239","167,558",0,0,188,178,10,"5,184","4,652",532,96,88,8,440,264,176,42,38,4,908,884,24,150,"1,650",326,"6,532",10,532,532,Yes,"5,182","24,362",unavailable,8,CA0168,19-20
BELVEDERE-TIBURON LIBRARY,Marin,Joint Powers Authority,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1501 TIBURON BLVD,TIBURON,94920,2530,(415) 789-2665,(415) 789-2661,https://beltiblibrary.org,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"11,664","7,016",761,1,0,0,1,"10,500","$2,794,250 ",$0 ,$0 ,"$168,402 ","$2,962,652 ",$0 ,$0 ,$0 ,"$2,893,523 ","$2,893,523 ","$1,455,485 ","$422,458 ","$1,877,943 ","$94,257 ","$15,785 ","$110,042 ","$60,574 ","$10,298 ","$180,914 ","$497,068 ","$2,555,925 ","$2,791,402 ",35,9,15,9,24,8,"16,056","2,438","44,932","741,711","6,990","285,987","4,804","64,298",31,2,33,"1,944","2,105",unavailable,unavailable,"11,602",Annual Count,"89,248","29,250","2,936","34,454","23,570","58,024","123,702","147,272","38,767","14,775",306,304,2,"9,194","8,939",255,97,92,5,"1,031",990,41,401,391,10,"5,384","5,382",2,1,162,804,"15,609",42,"4,029",unavailable,No,"8,589","113,649","56,900",23,CA0197,19-20
BENICIA PUBLIC LIBRARY,Solano,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,150 E. L ST.,BENICIA,94510,3281,(707) 746-4343,(707) 746-4343,https://www.benicialibrary.org,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"27,175","18,512","2,823",1,0,0,1,"31,700","$2,310,528 ","$24,668 ",$0 ,"$85,000 ","$2,420,196 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,276,832 ","$531,568 ","$1,808,400 ","$74,945 ","$6,160 ","$81,105 ","$41,153 ","$30,025 ","$152,283 ","$474,531 ","$2,435,214 ","$741,370 ",60,6.42,6.42,11.7,18.12,3.72,"37,642","4,776","88,819","153,814","7,260","14,074","7,634",150,16,3,19,139,"2,080","140,575",Annual Count,"17,514",Annual Estimate Based on Typical Week(s),"193,537","79,924","2,131","37,698","14,820","52,518","231,235","246,055","61,585","40,692",396,381,15,"8,246","7,999",247,85,77,8,"1,439","1,295",144,231,227,4,"2,450","2,396",54,122,"2,824",712,"12,135",36,540,244,No,"13,795","112,421","31,718",20,CA0163,19-20
BERKELEY PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,2090 KITTREDGE STREET,BERKELEY,94704,1427,(510) 981-6195,(510) 981-6148,http://www.berkeleypubliclibrary.org/,11,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,"122,580","127,965","15,469",1,4,0,5,"137,665","$20,431,021 ","$92,252 ",$0 ,"$211,256 ","$20,734,529 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$8,244,060 ","$5,169,548 ","$13,413,608 ","$661,432 ","$50,825 ","$712,257 ","$868,717 ","$118,491 ","$1,699,465 ","$3,751,403 ","$18,864,476 ","$703,964 ",154,37.3,37.3,78.75,116.05,0.25,"158,501","15,697","423,041","622,143","38,875","396,048","29,069","39,074",22,2,24,326,"9,694","619,150",Annual Count,"52,225",Annual Estimate Based on Typical Week(s),"1,441,115","627,960","23,150","623,339","83,826","707,165","2,064,454","2,148,280","5,200","8,249","1,159","1,157",2,"28,979","28,885",94,280,280,0,"4,023","4,023",0,559,559,0,"7,683","7,683",0,359,"9,274","1,998","40,685",0,0,0,No,"119,682","493,000","82,721",126,CA0011,19-20
BEVERLY HILLS PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,444 N. REXFORD DR.,BEVERLY HILLS,90210,4877,(310) 288-2220,(310) 288-2244,http://www.bhpl.org,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"33,775","44,413","6,027",1,1,0,2,"72,700","$12,785,190 ","$30,547 ",$0 ,"$361,428 ","$13,177,165 ","$1,784,087 ",$0 ,$0 ,$0 ,"$1,784,087 ","$4,122,599 ","$1,856,282 ","$5,978,881 ","$156,175 ","$18,635 ","$174,810 ","$343,874 ","$23,936 ","$542,620 ","$6,655,664 ","$13,177,165 ","$1,630,300 ",102,16,16,38.6,54.6,0.54,"53,276","2,442","166,406","594,874","20,381","120,000","12,146","42,594",54,2,56,170,"3,922","455,751",Annual Count,"117,262",Annual Count,"312,598","172,572","1,796","42,105",unavailable,unavailable,"354,703",unavailable,691,143,309,308,1,"14,918","14,908",10,4,4,0,75,75,0,37,25,12,670,491,179,81,"4,367",350,"15,663",19,"1,699",0,Yes,"34,088","413,441","1,145,730",60,CA0012,19-20
BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,Ventura,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,Black Gold Cooperative Library System,119 N. EIGHTH ST.,SANTA PAULA,93060,2709,(805) 525-3615,(805) 525-3615,http://www.blanchardlibrary.org,108,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,"30,389","10,261","2,123",1,0,0,1,"22,554","$861,602 ","$59,417 ",$0 ,"$133,369 ","$1,054,388 ",$0 ,$0 ,$0 ,"$31,035 ","$31,035 ","$493,415 ","$180,418 ","$673,833 ","$29,344 ","$3,255 ","$32,599 ","$6,242 ","$4,057 ","$42,898 ","$236,797 ","$953,528 ",$0 ,16,1,2,6.8,8.8,2.7,"23,552","2,699","61,987","313,904",733,"117,135","3,074","31,531",4,3,7,55,"1,296","72,481",Annual Count,"1,679",Annual Count,"59,073","32,436","6,085","10,177",642,"10,819","69,250","69,892","19,006","5,891",204,204,0,"5,670","5,670",0,23,23,0,328,328,0,66,66,0,496,496,0,9,445,293,"6,494",7,"5,891",0,Yes,"9,210",unavailable,unavailable,33,CA0131,19-20
BRAWLEY PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,400 MAIN ST.,BRAWLEY,92227,2491,(760) 344-1891,(760) 344-1891,brawley-ca.gov/section/Library,5,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,"27,349","6,409","2,321",1,1,0,2,"9,250","$391,136 ","$50,010 ",$0 ,$0 ,"$441,146 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$242,008 ","$91,214 ","$333,222 ","$19,687 ","$3,028 ","$22,715 ",$0 ,$0 ,"$22,715 ","$81,678 ","$437,615 ",$0 ,8,0,1,5,6,4,"17,578","2,453","46,755",0,"2,252",0,633,0,1,0,1,32,"1,826","26,344",Annual Estimate Based on Typical Week(s),"3,276",Annual Estimate Based on Typical Week(s),"51,560","27,351","8,431",0,0,0,"51,560","51,560",0,0,15,15,0,693,693,0,5,5,0,41,41,0,6,6,0,74,74,0,0,0,26,808,0,0,0,Yes,"4,232",unavailable,unavailable,17,CA0013,19-20
BUENA PARK LIBRARY DISTRICT,Orange,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,Santiago,7150 LA PALMA AVE.,BUENA PARK,90620,2547,(714) 826-4100,(714) 826-4100,http://www.buenaparklibrary.org/,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"81,998","24,860","5,594",1,0,0,1,"45,750","$2,040,055 ","$8,150 ",$0 ,"$1,824,896 ","$3,873,101 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,590,770 ","$837,027 ","$2,427,797 ","$70,311 ","$5,036 ","$75,347 ","$100,922 ","$23,545 ","$199,814 ","$421,736 ","$3,049,347 ","$1,649 ",44,7,7,23,30,1.25,"37,650","5,234","98,170","583,782","6,622","376,697","8,491","17,367",14,3,17,87,"1,998","157,019",Annual Count,"27,291",Annual Count,"240,736","142,311","15,164","47,614","13,436","61,050","288,350","301,786",0,1,374,372,2,"21,147","21,118",29,38,37,1,462,462,0,86,82,4,"1,173","1,135",38,72,"3,095",498,"22,782",41,"3,371",0,No,"19,284","64,112","31,848",22,CA0014,19-20
BURBANK PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,110 N. GLENOAKS BLVD.,BURBANK,91502,1203,(818) 238-5551,(818) 238-5580,http://www.BurbankLibrary.org,17,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"105,861","123,819","7,798",1,2,0,3,"79,190","$7,742,212 ","$27,155 ","$164,884 ","$58,727 ","$7,992,978 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,714,101 ","$1,655,116 ","$5,369,217 ","$224,964 ","$14,723 ","$239,687 ","$166,668 ","$50,343 ","$456,698 ","$1,479,733 ","$7,305,648 ",$0 ,91,24.64,24.64,39.38,64.02,3.25,"127,869","22,729","337,632","125,842","25,011","48,358","45,762","11,192",16,3,19,292,"5,499","470,336",Annual Count,"61,957",Annual Estimate Based on Typical Week(s),"596,280","229,952","10,180","65,754","35,573","101,327","662,034","697,607",201,9,166,162,4,"12,401","12,224",177,21,21,0,345,345,0,184,182,2,"3,918","3,892",26,13,"1,222",371,"16,664",47,"9,592",851,No,"111,246","359,753","49,342",90,CA0015,19-20
BURLINGAME PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,480 PRIMROSE RD.,BURLINGAME,94010,4083,(650) 558-7400,(650) 558-7400,http://www.burlingame.org/library,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"37,730","26,123","6,820",1,1,0,2,"50,000","$5,626,875 ","$2,819 ",$0 ,"$149,503 ","$5,779,197 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,557,910 ","$1,369,965 ","$3,927,875 ","$157,108 ","$20,465 ","$177,573 ","$200,548 ","$29,171 ","$407,292 ","$1,444,030 ","$5,779,197 ",$0 ,83,13.86,13.86,18.84,32.7,5.11,"55,859","6,445","192,901","180,715","9,884","30,832","13,798","54,145",40,3,43,298,"3,400","253,762",Annual Count,"37,266",Annual Count,"582,784","287,125","8,973","70,693","23,246","93,939","653,477","676,723","63,732","54,520",373,326,47,"20,729","18,236","2,493",64,41,23,510,400,110,354,320,34,"3,745","3,407",338,22,286,791,"24,984",45,"2,832",294,No,"26,523","102,474","556,631",71,CA0016,19-20
BUTTE COUNTY LIBRARY,Butte,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1820 MITCHELL AVENUE,OROVILLE,95966,5387,(530) 552-5652,(530) 552-5652,http://www.buttecounty.net/bclibrary,"1,675.00",Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,"210,291","97,035","10,863",0,6,0,6,"60,181","$3,442,332 ","$340,532 ","$83,891 ","$226,447 ","$4,093,202 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,258,514 ","$608,015 ","$1,866,529 ","$4,699 ","$11,051 ","$15,750 ","$40,927 ","$8,322 ","$64,999 ","$1,539,583 ","$3,471,111 ",$0 ,24,8,8,14.5,22.5,10,"57,928","9,880","167,559","146,627","6,675","14,170","14,025","37,209",12,4,16,99,"5,458","299,083",Annual Count,unavailable,unavailable,"457,850","176,921","5,977","79,132",832,"79,964","536,982","537,814",129,61,476,476,0,"11,308","11,308",0,111,111,0,"1,274","1,274",0,204,201,3,"1,884","1,844",40,1,4,791,"14,466",66,"70,865",unavailable,No,"34,784","160,527","25,285",62,CA0017,19-20
CALABASAS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,200 CIVIC CENTER WAY,CALABASAS,91302,4114,(818) 225-7616,(818) 225-7616,http://www.cityofcalabasas.com/library.html,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"24,193","66,818","19,575",1,0,0,1,"27,000","$1,811,658 ","$7,187 ",$0 ,"$48,561 ","$1,867,406 ","$777,908 ",$0 ,$0 ,$0 ,"$777,908 ","$831,162 ","$160,081 ","$991,243 ","$47,874 ","$9,088 ","$56,962 ","$141,605 ","$2,000 ","$200,567 ","$270,133 ","$1,461,943 ","$777,908 ",23,2,5,10,15,0.25,"37,563","6,188","71,584","7,091","4,296","9,000","4,317","28,327",27,4,31,50,"1,496","126,000",Annual Estimate Based on Typical Week(s),"18,000",Annual Estimate Based on Typical Week(s),"83,185","49,423",695,"32,349","39,717","72,066","115,534","155,251",25,127,233,194,39,"8,387","7,725",662,111,110,1,888,880,8,74,70,4,977,969,8,1,unavailable,418,"10,252",37,650,unavailable,No,"7,211","49,045","36,013",21,CA0201,19-20
CALAVERAS COUNTY LIBRARY,Calaveras,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1299 GOLD HUNTER ROAD,SAN ANDREAS,95249,9709,(209) 754-6510,(209) 754-6510,www.calaveraslibrary.com,"1,027.00",Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"45,023","26,578","5,862",1,7,0,8,"33,800","$587,565 ","$53,616 ",$0 ,"$66,005 ","$707,186 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$331,113 ","$98,862 ","$429,975 ","$15,783 ",$433 ,"$16,216 ","$12,082 ","$13,274 ","$41,572 ","$154,875 ","$626,422 ",$0 ,23,1,1,11,12,5.65,"32,219","3,938","126,041","11,288","7,407","6,388","10,764","24,072",6,3,9,5,"6,937","49,625",Annual Count,"5,560",Annual Estimate Based on Typical Week(s),"72,779","32,481",37,"9,097","3,962","13,059","81,876","85,838","3,375","1,407",408,356,52,"7,800","6,500","1,300",0,0,0,0,0,0,74,72,2,704,684,20,3,72,482,"8,504",20,912,8,Yes,"11,397","25,608","18,057",35,CA0018,19-20
CAMARENA MEMORIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,850 ENCINAS AVE.,CALEXICO,92231,2559,(760) 768-2170,(760) 768-7480,https://calexicolibrary.org,7,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,"40,896","11,922","7,146",1,1,0,2,"16,560","$637,026 ","$24,635 ",$0 ,$0 ,"$661,661 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$287,970 ","$137,518 ","$425,488 ","$17,000 ","$3,339 ","$20,339 ","$6,013 ",$0 ,"$26,352 ","$201,148 ","$652,988 ","$20,912 ",6,2,2,2,4,2.92,"36,755","5,215","66,535","222,474",569,"53,097",838,0,9,4,13,58,"3,216","50,295",Annual Count,"13,692",Annual Count,"15,939","9,562","3,420","1,588",unavailable,unavailable,"17,527",unavailable,1,4,81,59,22,"1,521","1,001",520,11,9,2,168,160,8,54,38,16,"2,411",113,"2,298",0,0,146,"4,100",unavailable,unavailable,unavailable,No,"2,922",unavailable,unavailable,42,CA0019,19-20
CAMARILLO PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,4101 LAS POSAS RD,CAMARILLO,93010,3799,(805) 388-5222,(805) 388-5811,http://camarillolibrary.org,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,"70,261","96,483","13,738",1,0,0,1,"65,621","$341,132 ","$27,832 ",$0 ,"$449,520 ","$818,484 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$101,312 ","$68,455 ","$169,767 ","$166,077 ","$6,843 ","$172,920 ","$206,652 ",$0 ,"$379,572 ","$2,431,190 ","$2,980,529 ","$13,862 ",38,6,6,19.75,25.75,5.34,"96,554","12,925","184,932","467,287","10,216","392,241","19,745","41,596",22,0,22,128,"2,535","270,009",Annual Count,"33,597",Annual Count,"417,906","251,574","5,834","92,095","128,268","220,363","510,001","638,269",0,28,321,0,0,"17,882",0,0,118,0,0,"1,481",0,0,190,0,0,"6,241",0,0,45,585,629,"25,604",0,0,0,Yes,"21,632","138,359","259,875",122,CA0209,19-20
CARLSBAD CITY LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1775 DOVE LANE,CARLSBAD,92011,4048,(760) 602-2011,(760) 602-2038,http://www.carlsbadlibrary.org,40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"114,463","110,331",unavailable,1,2,0,3,"99,993","$13,342,300 ","$64,207 ",$0 ,$0 ,"$13,406,507 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,211,158 ","$1,806,611 ","$7,017,769 ","$260,545 ","$118,703 ","$379,248 ","$325,584 ","$93,539 ","$798,371 ","$4,032,200 ","$11,848,340 ",$0 ,206,25.78,25.78,77.55,103.33,6.3,"98,903","7,561","253,724","15,759","27,613","7,749","14,990",0,27,3,30,437,"6,349","479,358",Annual Count,"138,690",Annual Count,"786,543","414,118","6,571","150,254","93,458","243,712","936,797","1,030,255",119,89,961,950,11,"33,361","33,197",164,138,134,4,"1,849","1,825",24,620,592,28,"14,435","13,222","1,213",156,"8,005","1,719","49,645",unavailable,unavailable,unavailable,No,"65,611","570,897","121,316",125,CA0020,19-20
CERRITOS PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,18025 BLOOMFIELD AVE.,CERRITOS,90703,8525,(562) 916-1378,(562) 916-1342,http://www.cerritoslibrary.us,9,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,"49,994","19,642","4,683",1,0,0,1,"88,000","$5,930,253 ",$0 ,$0 ,$0 ,"$5,930,253 ","$70,000 ",$0 ,$0 ,$0 ,"$70,000 ","$3,165,469 ","$2,098,909 ","$5,264,378 ","$224,240 ","$26,000 ","$250,240 ","$126,220 ","$22,500 ","$398,960 ","$262,260 ","$5,925,598 ",$0 ,99,0,7,36,43,4,"96,205","9,649","265,299","9,696","7,533","3,391","12,017","1,116",25,1,26,247,"2,368","576,942",Annual Count,"47,336",Annual Count,"252,824","123,898","16,600","22,430","187,319","209,749","275,254","462,573",332,118,320,320,0,"10,226","10,226",0,44,44,0,469,469,0,50,50,0,"2,092","2,092",0,0,0,414,"12,787",14,"2,611",0,No,"49,243","134,000","102,754",150,CA0022,19-20
CHULA VISTA PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,365 F ST.,CHULA VISTA,91910,2697,(619) 691-5069,(619) 691-5069,http://www.chulavistalibrary.com,50,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"272,202","135,488","22,152",1,2,0,3,"97,412","$4,101,587 ","$78,447 ","$2,944 ","$648,653 ","$4,831,631 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,755,930 ","$1,084,320 ","$3,840,250 ","$56,301 ","$3,659 ","$59,960 ","$31,552 ","$5,902 ","$97,414 ","$161,038 ","$4,098,702 ",$0 ,76,13.48,14.48,24.05,38.53,5.39,"89,989","10,949","234,120","7,002","12,305","1,123","17,456",0,7,0,7,37,"6,014","961,848",Annual Count,"74,097",Annual Estimate Based on Typical Week(s),"458,880","207,088","33,254","41,315","9,799","51,114","500,195","509,994",0,0,903,711,192,"25,832","19,780","6,052",38,16,22,"3,271",102,"3,169",565,553,12,"11,517","5,358","6,159",17,701,"1,506","40,620",216,"15,380",0,Yes,"56,110","268,863","34,289",121,CA0023,19-20
CITY OF COMMERCE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,5655 JILLSON ST.,COMMERCE,90040,1485,(323) 722-6660,(323) 722-6660,http://www.cocpl.org,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,"12,868","32,879","5,585",1,3,0,4,"26,902","$3,862,244 ","$55,223 ",$0 ,$0 ,"$3,917,467 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,761,062 ","$818,310 ","$3,579,372 ","$160,723 ","$6,775 ","$167,498 ","$45,468 ",$0 ,"$212,966 ","$174,885 ","$3,967,223 ","$43,535 ",66,6,9,32.5,41.5,1,"44,444","5,889","83,364","1,137","7,781","3,736","18,717",0,14,4,18,161,"6,192","168,497",Annual Count,"26,416",Annual Count,"76,918","33,848","9,017","16,449",152,"16,601","93,367","93,519",7,11,208,208,0,"3,886","3,886",0,58,58,0,260,260,0,118,118,0,"1,586","1,586",0,0,0,384,"5,732",57,"31,697",0,Yes,"40,220","115,032","48,511",68,CA0027,19-20
COALINGA-HURON LIBRARY DISTRICT,Fresno,Special District Library,School District (most nearly),Member of a Federation or Cooperative,School District,San Joaquin Valley Library System,305 N. FOURTH ST.,COALINGA,93210,2896,(559) 935-1676,(559) 935-1676,http://www.coalingahuronlibrary.org/,"1,100.00",Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,"24,498","4,292","1,188",1,1,0,2,"14,546","$812,431 ","$20,000 ","$12,000 ","$72,185 ","$916,616 ","$502,928 ",$0 ,$0 ,$0 ,"$502,928 ","$465,560 ","$257,510 ","$723,070 ","$44,806 ","$3,626 ","$48,432 ","$7,973 ",$0 ,"$56,405 ","$245,013 ","$1,024,488 ","$252,853 ",11,1,1,10,11,0,"23,012","5,705","68,839",799,"3,113",195,"6,931",0,10,2,12,66,"3,182","39,543",Annual Count,"7,184",Annual Count,"25,750","5,501",155,"1,935","1,072","3,007","27,685","28,757","11,207","22,375",118,,,"2,807",,,70,,,209,,,43,,,261,,,17,"2,126",231,"3,277",0,0,0,Yes,"8,540","17,876",unavailable,62,CA0024,19-20
