Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Number of kiosks,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Total Staff FTE,Total number of volunteers (count heads),Total hours volunteered in the reporting year,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,"Do you loan internet enabled devices? (Laptops, Chromebooks, etc.)",How many devices available for check-out and use outside the library?,Do you lend hot spots?,How many hot spots available for check-out and use outside the library?,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,Total Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded as of June 30,Electronic Collections State Funded,# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge any patrons late fines for physical materials?,Charge per day for Adults,For Young Adults,For Children,Physical Item Circulation,Circulation of Children's Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,"Circulation of internet-enabled devices (laptops, Chromebooks, etc)",Circulation of hotspots,Circulation of Other Physical Items,Circulation of Electronic Materials,Successful Retrieval of State-funded Electronic information (autofilled),Successful Retrieval of locally-funded electronic information,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Program Attendance,of Children's Programs (calculated),Program Attendance,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of General Interest Programs (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Virtual Visits to the library website,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,ILS System (choose from dropdown or enter other),# of self-directed activities,# of participants,Brief description of activities,FSCS ID,Year
BANNING LIBRARY DISTRICT,Riverside,Special District Library,"School District - Unified, overlap",Member of a Federation or Cooperative,School District,Inland Library System,21 W. NICOLET ST.,BANNING,92220,4607,(951) 849-3192,(951) 849-3192, www.banninglibraryca.gov,306,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"33,697","20,941","5,464",1,0,0,1,0,"9,583","$1,129,007 ",$0 ,$0 ,"$22,529 ","$1,151,536 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$479,121 ","$99,089 ","$578,210 ","$9,856 ","$2,322 ","$12,178 ","$15,879 ","$7,004 ","$35,061 ","$127,902 ","$741,173 ","$245,637 ",14,1,1,5,6,0,0,"15,352","2,545","53,229","1,821","3,766",Yes,18,Yes,13,160,"58,976",51,"792,340","432,535","21,658",7,20,27,"2,608","6,709",Annual Count,"6,584",Annual Count,No,,,,"11,758","5,390",588,0,3,89,57,5,"6,328",770,"7,542","8,312","18,086","14,640","26,398",No,185,586,108,267,48,48,0,115,115,0,60,60,0,152,152,0,50,50,0,122,122,0,17,12,5,85,38,47,10,10,0,112,112,0,5,15,7,365,Yes,"1,614",Annual Count,"14,567","15,720",Annual Estimate Based on Typical Week(s),38,Koha (Equinox),4,140,"Summer Reading Program take home kits, aka boredom busters.",CA0167,21-22
BEAUMONT LIBRARY DISTRICT,Riverside,Special District Library,"Place (e.g., incorporated city or village, censusdesignated), overlap",Member of a Federation or Cooperative,Library District,Inland Library System,125 E. EIGHTH ST.,BEAUMONT,92223,2194,(951) 845-1357,(951) 845-1357,http://bld.lib.ca.us,60,No,Yes,Yes,Yes,Yes,No,Yes,No,"62,904","23,720","3,015",1,0,1,2,0,"11,697","$2,015,181 ","$168,252 ",$0 ,"$8,620 ","$2,192,053 ","$150,000 ",$0 ,$0 ,"$9,433 ","$159,433 ","$896,407 ","$378,438 ","$1,274,845 ","$70,357 ","$1,718 ","$72,075 ","$22,285 ","$31,196 ","$125,556 ","$435,420 ","$1,835,821 ","$54,028 ",20,6.75,7.75,5.25,13,0,0,"18,032","2,505","54,598",522,"6,863",Yes,18,Yes,25,138,"62,121",4,"606,273","488,025","54,882",4,18,22,"2,458",-1,Annual Count,"15,813",Annual Count,Yes,$0.25 ,$0.25 ,$0.10 ,"99,571","50,719","1,875",0,0,97,144,"3,197","6,853",479,"4,575","5,054","106,424","11,907","111,478",Yes,385,"10,117",164,"3,430",85,85,0,"2,701","2,701",0,79,58,21,729,608,121,29,21,8,222,185,37,178,122,56,832,518,314,14,14,0,"5,633","5,633",0,22,"5,342",0,0,Yes,"2,959",Annual Count,"28,852",-1,Annual Count,6,Library Solution (TLC),21,679,Arts and craft kits for children; journaling and mug marbling kits for teens; take and make art for adults; rock art for adults; bookmark making for adults,CA0168,21-22
BELVEDERE-TIBURON LIBRARY,Marin,Joint Powers Authority,"Multi-Place, entirety",Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1501 TIBURON BLVD,TIBURON,94920,2530,(415) 789-2665,(415) 789-2661,https://beltiblibrary.org,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"11,036","7,795",693,1,0,0,1,0,"10,500","$3,072,205 ",$0 ,$0 ,"$22,776 ","$3,094,981 ",$0 ,$0 ,$0 ,"$3,125,000 ","$3,125,000 ","$1,640,816 ","$468,295 ","$2,109,111 ","$80,813 ","$16,013 ","$96,826 ","$42,511 ","$12,477 ","$151,814 ","$810,001 ","$3,070,926 ","$4,440,631 ",13,8,8,4.15,12.15,1,180,"16,434","3,331","51,090","3,641","3,136",Yes,19,Yes,4,51,"57,918","1,388","1,298,220","797,861","107,394",19,22,41,916,"23,030",Annual Count,"6,792",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"56,275","26,618","2,106","33,298","19,313",17,15,"12,424","44,476","3,426","74,178","77,604","100,751","122,080","178,355",Yes,102,"2,033",40,"1,624",34,14,20,"1,434",356,"1,078",6,4,2,190,115,75,18,18,0,119,119,0,44,38,6,290,265,25,0,0,0,0,0,0,0,0,34,"3,559",No,440,Annual Count,"99,791","3,410",Annual Count,4,Sierra (Innovative),"2,910",-1,"DIY kits for children and teens, including: homemade ice cream, no sew pillow, windchimes",CA0197,21-22
BENICIA PUBLIC LIBRARY,Solano,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,150 E. L ST.,BENICIA,94510,3281,(707) 746-4343,(707) 746-4343,https://www.benicialibrary.org,13,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"26,656","17,450","3,584",1,0,0,1,0,"31,700","$2,444,620 ","$26,380 ","$6,000 ","$85,371 ","$2,562,371 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,222,037 ","$618,308 ","$1,840,345 ","$80,190 ","$6,397 ","$86,587 ","$49,168 ","$33,661 ","$169,416 ","$479,100 ","$2,488,861 ",$0 ,51,6.42,6.42,14,20.42,100,820,"36,917","4,389","90,113","7,391","7,950",Yes,8,Yes,10,230,"105,684",132,"25,056","16,756","2,445",15,19,34,"2,977","81,834",Annual Count,"15,262",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"206,893","100,441","1,959","54,531","38,901",60,77,849,"62,939",291,"6,521","6,812","269,832","69,751","276,644",Yes,530,"4,430",114,"1,407",71,34,37,856,369,487,43,20,23,551,382,169,58,6,52,416,122,294,346,128,218,"2,519","1,013","1,506",12,3,9,88,29,59,2,119,223,"8,707",No,"9,060",Annual Count,"86,437","23,802",Annual Count,19,CARLX (TLC),18,353,"Each craft kit included three easy craft activities and two coloring sheets. Either the guidelines changed or we calculated wrong in 2020-21; then, we counted each craft kit separately. This time, we're following instructions and counting the 18 separate kits created, not the 1,549 we gave away. 7.46 is consistently calculated across the years.",CA0163,21-22
BERKELEY PUBLIC LIBRARY,Alameda,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,2090 KITTREDGE STREET,BERKELEY,94704,1427,(510) 981-6195,(510) 981-6148,http://www.berkeleypubliclibrary.org/,11,No,Yes,No,Yes,Yes,Yes,Yes,Yes,"124,563","139,332","13,643",1,4,0,5,0,"137,665","$22,429,364 ","$62,927 ",$0 ,"$435,647 ","$22,927,938 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$7,781,505 ","$5,067,004 ","$12,848,509 ","$777,657 ","$49,599 ","$827,256 ","$1,211,656 ","$52,771 ","$2,091,683 ","$5,457,241 ","$20,397,433 ","$781,141 ",146,37.3,37.3,78.3,115.6,0,0,"153,125","16,662","431,502","35,973","36,083",Yes,50,Yes,50,"4,585","508,143",,"690,245","484,265","49,620",29,13,42,"12,376","566,740",Annual Estimate Based on Typical Week(s),"35,000",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"1,397,939","668,869","5,242","9,164","25,639","1,101",836,"31,996","768,657","29,397","318,912","348,309","2,166,596","1,116,966","2,514,905",Yes,743,"25,006",293,"15,305",146,146,0,"10,284","10,284",0,147,133,14,"5,021","4,689",332,87,74,13,"3,436","2,949",487,329,50,279,"4,477",818,"3,659",34,26,8,"1,788","1,641",147,263,"11,532",46,"6,805",No,"29,135",Annual Count,"940,000","210,985",Annual Count,112,CARLX (TLC),5,132,4 Take it and Make it craft kits. 1 Video and science activity ,CA0011,21-22
BEVERLY HILLS PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,444 N. REXFORD DR.,BEVERLY HILLS,90210,4877,(310) 288-2220,(310) 288-2244,http://www.bhpl.org,6,No,Yes,Yes,Yes,Yes,No,Yes,Yes,"32,265","54,159","7,398",1,0,0,1,0,"72,700","$11,792,990 ","$31,436 ",$0 ,"$178,006 ","$12,002,432 ","$275,420 ",$0 ,$0 ,$0 ,"$275,420 ","$3,719,060 ","$1,745,440 ","$5,464,500 ","$153,969 ","$31,564 ","$185,533 ","$329,161 ","$27,523 ","$542,217 ","$5,995,715 ","$12,002,432 ","$154,371 ",81,14.1,14.1,33.26,47.36,13,196,"52,292","1,951","164,242","17,900","10,884",Yes,0,Yes,17,10,"193,036",151,"665,600","417,200","76,890",51,16,67,"3,112","234,158",Annual Count,"58,840",Annual Count,Yes,$0.25 ,$0.00 ,$0.00 ,"217,783","122,837","1,750",964,90,-1,-1,-1,"35,867","5,041","27,842","32,883","253,650","68,750","286,533",Yes,156,"3,553",85,"2,640",84,84,0,"2,610","2,610",0,1,0,1,30,0,30,4,1,3,103,85,18,67,30,37,810,141,669,0,0,0,0,0,0,0,0,5,90,Yes,"10,714",Annual Count,-1,-1,,60,Sierra (Innovative),0,0,,CA0012,21-22
BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,Ventura,Special District Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,Library District,Black Gold Cooperative Library System,119 N. EIGHTH ST.,SANTA PAULA,93060,2709,(805) 525-3615,(805) 525-3615,http://www.blanchardlibrary.org,108,No,No,No,No,No,No,No,No,"30,892","9,987","3,731",1,0,0,1,0,"22,554","$931,999 ","$96,147 ","$4,759 ","$35,469 ","$1,068,374 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$452,718 ","$169,859 ","$622,577 ","$47,496 ","$3,657 ","$51,153 ","$10,498 ",$50 ,"$61,701 ","$197,127 ","$881,405 ",$0 ,15,1,2,6.5,8.5,14,"1,440.00","23,396","2,984","63,254",790,"3,721",Yes,20,Yes,18,80,"67,845",54,"219,988","21,036",547,1,17,18,"1,296","55,208",Annual Count,245,Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"56,735","32,270","1,900","20,142",704,367,367,560,"13,001",820,704,"1,524","69,736","14,525","71,260",Yes,55,"1,085",17,754,7,7,0,136,136,0,10,9,1,618,546,72,1,0,1,32,0,32,37,37,0,299,299,0,0,0,0,0,0,0,1,3,0,0,Yes,"36,432",Annual Count,-1,-1,,33,Koha (Equinox),10,"1,091",Take home craft kits,CA0131,21-22
BRAWLEY PUBLIC LIBRARY,Imperial,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,400 MAIN ST.,BRAWLEY,92227,2491,(760) 344-1891,(760) 344-1891,brawley-ca.gov/section/Library,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"26,952","2,617",767,1,0,0,1,0,"9,250","$386,479 ","$52,372 ",$0 ,$45 ,"$438,896 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$223,235 ","$81,727 ","$304,962 ","$15,257 ",$0 ,"$15,257 ","$2,047 ","$1,819 ","$19,123 ","$56,059 ","$380,144 ",$0 ,7,0,0,5,5,10,50,"14,389","2,240","47,874","1,910",314,No,0,No,0,92,"50,190",0,"14,425","6,534",0,1,9,10,"1,196","7,103",Annual Estimate Based on Typical Week(s),880,Annual Estimate Based on Typical Week(s),Yes,$0.10 ,$0.10 ,$0.05 ,"12,836","1,052",295,5,5,0,0,551,"1,354",70,-1,70,"14,190","1,424","14,260",No,613,596,488,488,160,160,0,160,160,0,328,328,0,328,328,0,86,86,0,86,86,0,39,26,13,22,9,13,0,0,0,0,0,0,0,0,0,0,Yes,"1,102",Annual Count,-1,-1,Annual Count,15,Apollo (Biblionix),37,150,Premade activity kits with everything needed to make a craft. ,CA0013,21-22
BUENA PARK LIBRARY DISTRICT,Orange,Special District Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,Library District,Santiago,7150 LA PALMA AVE.,BUENA PARK,90620,2547,(714) 826-4100,(714) 826-4100,http://www.buenaparklibrary.org/,12,No,Yes,Yes,Yes,Yes,No,No,No,"83,430","26,287","5,669",1,0,0,1,0,"45,750","$2,146,259 ","$326,749 ",$0 ,"$2,185,873 ","$4,658,881 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,669,491 ","$470,512 ","$2,140,003 ","$72,013 ","$5,030 ","$77,043 ","$89,095 ","$13,461 ","$179,599 ","$517,469 ","$2,837,071 ","$430,852 ",40,7,7,21,28,257,"1,194.00","32,907","4,873","96,596","6,632","8,480",No,0,Yes,44,38,"111,746",,"897,439","522,054","25,501",15,16,31,"2,696","128,520",Annual Count,"30,966",Annual Count,No,,,,"211,533","127,332","18,105",0,9,0,390,313,"33,336","2,435","38,297","40,732","244,869","74,068","285,601",Yes,238,"10,688",171,"9,339",101,60,41,"3,150","2,547",603,70,46,24,"6,189","5,309",880,19,13,6,199,179,20,37,20,17,355,300,55,11,11,0,795,795,0,26,"2,090",57,"13,684",No,"17,129",Annual Count,"97,473","40,556",Annual Count,17,Polaris (Innovative),102,"12,371",DIY Craft Kits,CA0014,21-22
BURBANK PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,110 N. GLENOAKS BLVD.,BURBANK,91502,1203,(818) 238-5551,(818) 238-5580,http://www.BurbankLibrary.org,17,No,Yes,Yes,Yes,Yes,No,No,No,"105,451","84,653","29,797",1,2,0,3,0,"79,190","$8,045,793 ","$29,954 ",$0 ,"$37,214 ","$8,112,961 ","$275,000 ",$0 ,$0 ,$0 ,"$275,000 ","$3,956,247 ","$1,704,268 ","$5,660,515 ","$180,370 ","$14,943 ","$195,313 ","$225,316 ","$32,385 ","$453,014 ","$1,427,959 ","$7,541,488 ","$169,339 ",89,24.5,24.5,39.83,64.33,74,"4,516.00","112,908","18,138","291,032","22,114","43,500",Yes,10,No,0,280,"356,926",173,"640,010","475,606","87,300",17,22,39,"7,288","378,266",Annual Count,"52,409",Annual Estimate Based on Typical Week(s),No,,,,"612,074","325,274","14,358",74,30,3,0,804,"83,763","10,859","152,066","162,925","695,837","246,688","858,762",No,488,"9,897",162,"7,972",92,83,9,"6,211","5,791",420,70,65,5,"1,761","1,751",10,47,39,8,444,379,65,279,142,137,"1,481",627,854,0,0,0,0,0,0,12,63,8,760,No,"54,728",Annual Count,"346,867","13,069",Annual Count,85,Symphony (SirsiDynix),3,"1,095",1)Stop Motion Animation Kits 2) Love Your Library social media challenge 3) Library Card Sign Up Month social media challenge,CA0015,21-22
BURLINGAME PUBLIC LIBRARY,San Mateo,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), overlap",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,480 PRIMROSE RD.,BURLINGAME,94010,4083,(650) 558-7400,(650) 558-7400,http://www.burlingame.org/library,6,No,No,No,No,No,No,No,No,"37,877","28,198","6,798",1,1,0,2,0,"50,000","$5,450,793 ",$0 ,$0 ,"$160,157 ","$5,610,950 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,461,143 ","$1,256,023 ","$3,717,166 ","$248,814 ","$20,590 ","$269,404 ","$106,907 ","$39,688 ","$415,999 ","$1,477,785 ","$5,610,950 ",$0 ,73,12.46,12.46,16.97,29.43,106,"22,259.00","59,381","6,543","196,513","9,304","12,277",No,0,Yes,39,708,"218,802",270,"217,200","37,954","32,926",40,20,60,"3,048","175,581",Annual Count,"2,570",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"550,477","338,034","12,817","84,429","42,259",0,369,"2,297","77,995","8,741","76,508","85,249","628,472","163,244","713,721",Yes,578,"15,278",299,"12,280",119,51,68,"4,911","3,324","1,587",180,154,26,"7,369","5,943","1,426",88,55,33,"1,570","1,232",338,191,49,142,"1,428",385,"1,043",0,0,0,0,0,0,179,"4,226",61,"3,533",No,"13,085",Annual Count,"82,556","425,709",Annual Count,69,Sierra (Innovative),159,"4,818","Book October Spooky Bingo, Trick/Treat Main & Easton, 3 Story Walks, SLC Summer 2022, Poetry Month 2022, Zoom Homework Center - Kids, Zoom Homework Center Spring, Summer Scavenger Hunt Around Community, Summer Bingo, 1000 Books Before K Sign Ups, Aug. & Sept. In Library Scavenger Hunt, Snow pal Scavenger Hunt In Room, Winter Reading Finishers 2022, Valentine Scavenger Hunt, Shamrock Passive Craft March 2022, Earth Day Scavenger Hunt, Harry Potter Give Away Drawing, Summer Scavenger Hun TEEN Programs: Trick/Treat For Book, Teen Trick/Treat @ Burlingame High School, Oct. Scavenger Hunt, Sugar Skull Painting ,Dec, Winter Reading Burlingame High School Outreach, Winter Reading Finishers, March Bookmark Event, BHS March Book Giveaway, Earth Month Bingo, BHS Outreach Volunteer Recruitment, Zoom Homework Center Teens Fall, SLC for Teens",CA0016,21-22
BUTTE COUNTY LIBRARY,Butte,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1820 MITCHELL AVENUE,OROVILLE,95966,5387,(530) 552-5652,(530) 552-5652,http://www.buttecounty.net/bclibrary,"1,675.00",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"201,608","103,009","9,157",0,6,0,6,0,"90,211","$3,727,544 ","$205,722 ","$81,944 ","$35,209 ","$4,050,419 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,367,803 ","$535,213 ","$1,903,016 ","$116,481 ","$6,627 ","$123,108 ","$165,213 ","$4,541 ","$292,862 ","$3,151,942 ","$5,347,820 ",$0 ,33,10,10,19.5,29.5,54,"3,406.00","59,871","11,324","174,440","5,592","16,370",Yes,6,Yes,6,47,"196,449",126,"281,367","526,974","75,955",7,19,26,"8,428","102,648",Annual Count,"3,107",Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,"407,608","189,564","6,158",101,122,18,127,38,"94,745","18,276",979,"19,255","502,353","114,000","521,608",No,"1,187","15,601",521,"9,907",318,318,0,"6,655","6,655",0,203,203,0,"3,252","3,252",0,107,88,19,"1,208",256,952,337,337,0,"1,244","1,244",0,222,222,0,"3,242","3,242",0,5,198,50,326,No,"23,527",Annual Count,"122,838","251,225",Annual Count,58,Other (please list),39,"1,224","These counts are for Grab-n-Go kits for kids, teens, and adults (which we collect separate from other programming). We do offer passive programming, but those are included in the program counts for the age.",CA0017,21-22
CALABASAS CITY LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,200 CIVIC CENTER WAY,CALABASAS,91302,4114,(818) 225-7616,(818) 225-7616,http://www.cityofcalabasas.com/library.html,13,Yes,Yes,Yes,Yes,Yes,No,No,No,"22,926","43,759","20,033",1,0,0,1,0,"27,000","$1,825,975 ","$15,105 ",$0 ,"$5,271 ","$1,846,351 ","$1,028,943 ",$0 ,$0 ,$0 ,"$1,028,943 ","$771,213 ","$279,535 ","$1,050,748 ","$37,631 ","$6,501 ","$44,132 ","$183,211 ","$2,539 ","$229,882 ","$282,667 ","$1,563,297 ","$784,293 ",19,5,5,8,13,146,578,"29,514","6,103","74,252","4,391","4,368",No,0,No,0,21,"83,032",44,"26,676","11,602","35,000",23,20,43,"2,200","65,000",Annual Estimate Based on Typical Week(s),"11,927",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"81,885","51,695",382,46,79,0,0,18,"76,257",536,"39,077","39,613","158,142","115,870","197,755",Yes,143,"1,987",49,"1,051",13,13,0,389,389,0,36,5,31,662,444,218,39,0,39,149,0,149,53,1,52,427,45,382,2,2,0,360,360,0,0,0,69,"2,900",No,"4,000",Annual Estimate Based on Typical Week(s),"41,241","10,000",Annual Estimate Based on Typical Week(s),21,Polaris (Innovative),9,397,Craft bags distributed; Science at Home project bags distributed.,CA0201,21-22
CALAVERAS COUNTY LIBRARY,Calaveras,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1299 GOLD HUNTER ROAD,SAN ANDREAS,95249,9709,(209) 754-6510,(209) 754-6510,www.calaveraslibrary.com,"1,027.00",No,No,No,No,No,No,No,No,"45,049","28,316","4,133",1,7,0,8,0,"35,000","$635,074 ","$94,626 ","$37,352 ","$53,854 ","$820,906 ","$5,639 ","$38,887 ",$0 ,"$51,896 ","$96,422 ","$399,645 ","$112,726 ","$512,371 ","$26,672 ","$1,404 ","$28,076 ","$11,986 ","$11,662 ","$51,724 ","$256,811 ","$820,906 ","$96,422 ",20,1,1,10.8,11.8,97,"8,219.00","36,842","4,260","110,017","7,551","10,780",No,0,No,0,446,"128,794",26,"749,876","536,059","55,214",6,17,23,"9,296","37,094",Annual Count,"5,274",Annual Estimate Based on Typical Week(s),Yes,$0.20 ,$0.20 ,$0.00 ,"75,051","34,367",37,"3,123","1,990",0,0,"1,244","14,734","1,079","14,734","15,813","89,785","30,547","105,598",Yes,319,"2,972",274,"2,704",140,140,0,"1,780","1,780",0,134,134,0,924,924,0,0,0,0,0,0,0,44,44,0,208,208,0,1,1,0,60,60,0,54,313,0,0,Yes,"5,410",Annual Estimate Based on Typical Week(s),"47,899","20,896",Annual Estimate Based on Typical Week(s),35,Symphony (SirsiDynix),29,"2,379",Arts/Crafts kits - 5 Summer Reading book/activity packets - 25,CA0018,21-22
CAMARENA MEMORIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,850 ENCINAS AVE.,CALEXICO,92231,2559,(760) 768-2170,(760) 768-7480,https://calexicolibrary.org,7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"38,711","9,903","7,205",1,1,0,2,0,"16,560","$499,060 ","$57,418 ",$0 ,$0 ,"$556,478 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$202,813 ","$100,515 ","$303,328 ","$15,000 ","$2,451 ","$17,451 ","$6,580 ",$0 ,"$24,031 ","$145,400 ","$472,759 ","$23,700 ",4,1,1,3,4,29,"4,132.00","37,505","5,392","68,640",782,651,No,0,No,0,9,"70,082",26,"179,980","291,648","22,538",3,18,21,"1,075","20,023",Annual Count,272,Annual Count,Yes,$0.15 ,$0.15 ,$0.05 ,"9,860","6,947","1,225",0,0,0,0,0,"5,533",717,-1,717,"15,393","6,250","16,110",Yes,243,"4,013",136,"1,664",66,31,35,682,323,359,70,50,20,982,617,365,17,13,4,140,120,20,70,25,45,535,275,260,20,19,1,"1,674","1,605",69,0,0,0,0,No,182,Annual Count,-1,-1,,42,Sierra (Innovative),11,805,These activities included to-go activities provided to Lunch at the Library participants & Vintage Club packets provided to adults 55 ,CA0019,21-22
