Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,# of Electronic Collections through State Funding in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
BANNING LIBRARY DISTRICT,Riverside,Special District Library,School District (most nearly),Member of a Federation or Cooperative,School District,Inland Library System,21 W. NICOLET ST.,BANNING,92220,4607,9518493192,(951) 849-3192,http://www.banninglibrarydistrict.org/,3,Yes,,306,"31,595","4,813","4,903","9,716","21,879","30,811","9,219",1,0,0,0,1,1,"101,664","2,704",0,10,1.5,2,4.5,0,3,2,6.5,"$965,000 ","$965,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$28,000 ","$28,000 ",$0 ,$0 ,"$826,500 ","$97,500 ","$43,000 ","$5,000 ","$36,500 ","$13,000 ","$48,000 ","$550,000 ","$62,000 ","$612,000 ","$34,000 ","$117,000 ",$0 ,"$20,000 ",$0 ,"11,975","2,819",0,83,"1,878",423,"3,681",89,"2,425","76,712",9,0,"60,402","4,165",262,9,981,"2,463","76,712","45,608","60,402","142,771","46,750","11,107","1,137","1,989","2,193","4,182","48,739","50,932",245,58,"9,052",335,170,66,814,"2,606","3,743",53,492,117,"2,114",99,323,"$6,833 ","$7,396 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,491 ","$3,782 ",$0 ,$0 ,"$2,917 ","$3,159 ","$2,917 ","$3,159 ","$2,639 ","$2,860 ",No,No,No,"13,400",14,"30,211",No,CA0167,17-18
BEAUMONT LIBRARY DISTRICT,Riverside,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Inland Library System,125 E. EIGHTH ST.,BEAUMONT,92223,2194,9518451357,(951) 845-1357,http://bld.lib.ca.us,2,Yes,,60,"53,603","4,161","8,269","12,430","41,173","40,945","10,023",1,0,1,0,2,2,"150,000","3,068",2.5,24,1.5,6.5,5.75,2,2.25,6.5,12.25,"$1,519,181 ","$1,324,167 ","$121,608 ","$60,200 ","$150,000 ",$0 ,$0 ,"$7,598 ","$157,598 ","$13,206 ","$22,996 ","$1,517,372 ","$106,373 ","$80,063 ","$1,620 ","$11,013 ","$13,677 ","$81,683 ","$763,442 ","$246,627 ","$1,010,069 ","$9,591 ","$400,930 ",$0 ,"$26,930 ","$51,800 ","19,969","2,856",0,34,477,"1,098","7,296",30,"4,642","74,482",9,0,"55,624","7,651",0,9,"1,810","5,843","74,482","32,799","55,624","137,918","131,214","49,956","2,150","3,017","71,493","74,510","134,231","205,724",0,10,"12,627",331,231,61,824,"9,949","11,640",133,"5,681",98,"4,268",39,867,"$7,825 ","$10,270 ","$6,586 ","$8,432 ","$5,633 ","$7,210 ","$4,863 ","$6,376 ","$4,333 ","$5,683 ","$3,466 ","$4,530 ","$2,608 ","$3,414 ","$4,853 ","$6,375 ","$2,080 ","$2,660 ",Yes,Yes,No,"7,407",8,"23,866",Yes,CA0168,17-18
BELVEDERE-TIBURON LIBRARY,Marin,Joint Powers Authority,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1501 TIBURON BLVD,TIBURON,94920,2530,4157892665,(415) 789-2661,https://beltiblibrary.org,3,Yes,,4,"11,783",567,"1,884","2,451","9,332","7,781","1,034",1,0,0,0,1,1,,"3,020",8,34,1,10,6,4,1,9,16,"$2,536,222 ","$2,181,877 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$354,345 ",$0 ,"$2,219,543 ","$184,913 ","$105,329 ","$15,189 ","$45,445 ","$18,950 ","$120,518 ","$1,189,437 ","$336,004 ","$1,525,441 ",$0 ,"$509,189 ","$2,000 ","$34,150 ",$0 ,"17,568","2,603",,489,"5,374",664,"5,043",845,"5,631","457,880",39,0,"55,055","331,859","13,566",39,"4,394","8,985","457,880","34,884","55,055","524,236","207,877","65,782","1,421","16,776","23,137","39,913","224,653","247,790","43,277","19,336","13,756",996,406,145,"1,687","9,476","17,958",136,"3,592",270,"5,884",445,"6,795","$13,902 ","$13,902 ","$6,770 ","$8,336 ","$6,550 ","$8,065 ",$0 ,$0 ,"$5,325 ","$6,557 ","$6,203 ","$7,638 ","$4,850 ","$5,972 ",$0 ,$0 ,"$4,071 ","$5,013 ",No,No,No,"16,428",23,"111,463",No,CA0197,17-18
BENICIA PUBLIC LIBRARY,Solano,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,150 E. L ST.,BENICIA,94510,3281,7077464343,(707) 746-4343,https://www.benicialibrary.org,4,Yes,,13,"27,499","1,502","3,550","5,052","22,447","15,889","2,971",1,0,0,0,1,1,"208,925","3,050",4,49,1.75,6,14.15,8.4,4,6,20.15,"$2,243,566 ","$2,076,898 ","$22,134 ","$12,230 ","$99,601 ",$0 ,$0 ,$0 ,"$99,601 ","$132,304 ","$21,992 ","$2,241,354 ","$205,257 ","$101,869 ","$5,604 ","$56,383 ","$41,401 ","$107,473 ","$1,185,406 ","$487,613 ","$1,673,019 ","$51,317 ","$363,078 ",$0 ,"$31,870 ","$82,814 ","37,515","4,863",393,"1,019","7,246","1,866","7,316",163,"5,219","117,498",24,0,"82,298","6,391",0,24,"2,646","6,190","117,498","39,920","82,691","214,938","243,999","95,827","2,533","14,166","10,682","24,848","258,165","268,847","70,665","48,065","23,368","1,068",549,176,"3,609","11,241","18,748",307,"5,832",242,"5,409",343,"3,898","$10,386 ","$12,625 ","$6,360 ","$7,731 ","$5,530 ","$6,722 ",,,"$4,371 ","$5,313 ","$4,809 ","$5,846 ","$3,302 ","$4,415 ","$4,356 ","$5,294 ","$2,865 ","$3,831 ",No,No,No,"22,720",20,"214,457",Yes,CA0163,17-18
BERKELEY PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,2090 KITTREDGE STREET,BERKELEY,94704,1427,5109816195,(510) 981-6148,http://www.berkeleypubliclibrary.org/,3,No,,11,"121,874","4,464","7,797","12,261","109,613","110,100","10,511",1,4,0,0,5,5,"1,036,994","13,624",0.55,154,3,41.3,72.8,53.25,16.55,41.3,114.1,"$19,572,994 ","$19,172,629 ","$57,852 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$342,513 ","$57,852 ","$17,570,807 ","$1,643,462 ","$890,961 ","$49,936 ","$506,729 ","$195,836 ","$940,897 ","$8,325,712 ","$5,243,615 ","$13,569,327 ",$0 ,"$2,358,018 ",$0 ,"$329,937 ","$428,708 ","146,082","15,062",0,"4,958","41,798","9,509","41,756",355,"13,020","410,477",21,0,"477,328","366,892","34,014",21,"23,738","49,874","410,477","316,184","477,328","971,735","1,687,134","642,372","14,390","329,432","105,435","434,867","2,016,566","2,122,001","12,550","23,816","110,071","3,003","1,628",472,"3,282","54,810","75,194","1,002","36,793",626,"18,017",903,"17,102","$12,870 ","$17,692 ","$10,215 ","$13,424 ","$8,573 ","$10,330 ","$7,699 ","$9,275 ","$5,873 ","$7,041 ","$6,462 ","$7,686 ","$4,284 ","$5,091 ","$8,132 ","$9,797 ","$3,528 ","$4,129 ",Yes,Yes,No,"165,454",139,"931,138",Yes,CA0011,17-18
BEVERLY HILLS PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,444 N. REXFORD DR.,BEVERLY HILLS,90210,4877,3102882220,(310) 288-2244,http://www.bhpl.org,4,Yes,,6,"34,504","1,213","4,084","5,297","29,207","31,140","4,788",1,0,0,1,1,2,"694,321","5,250",0.5,107,1,19,38.75,33,4.75,19,57.75,"$11,771,204 ","$11,205,509 ","$32,155 ",$0 ,"$1,309,334 ",$0 ,$0 ,$0 ,"$1,309,334 ","$533,540 ","$32,155 ","$11,771,204 ","$638,400 ","$276,892 ","$24,006 ","$266,570 ","$70,932 ","$300,898 ","$4,704,392 ","$1,070,497 ","$5,774,889 ","$93,108 ","$5,357,915 ",$0 ,"$51,091 ","$133,371 ","56,651","2,576",0,"1,035","20,065","2,769","11,845",170,"7,107","78,681",54,0,"178,667","1,513",869,54,"4,641","10,488","78,681","119,440","178,667","289,482","508,237","264,811","3,638","15,057",,"15,057","523,294","523,294",923,137,"104,411",512,455,8,139,"21,067","23,176",397,"15,960",58,"5,107",49,"1,970","$13,478 ","$18,235 ",$0 ,$0 ,"$9,587 ","$11,911 ","$6,634 ","$8,161 ","$5,512 ","$6,828 ","$6,028 ","$7,468 ","$4,654 ","$5,766 ","$6,188 ","$7,688 ","$4,089 ","$5,066 ",No,No,Yes,"9,522",60,"238,607",Yes,CA0012,17-18
BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,Ventura,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,Black Gold Cooperative Library System,119 N. EIGHTH ST.,SANTA PAULA,93060,2709,8055253615,(805) 525-3615,http://www.blanchardlibrary.org,3,Yes,$0.15/page,108,"31,138","2,423","5,178","7,601","23,537","9,935","2,463",1,0,0,0,1,1,"79,293","1,872",3.45,19,2,2,7.65,5.65,0,1,9.65,"$1,003,521 ","$814,206 ","$35,063 ",$0 ,"$24,831 ",$0 ,$0 ,$0 ,"$24,831 ","$154,252 ","$30,063 ","$824,249 ","$47,043 ","$30,448 ","$3,357 ","$13,194 ",$44 ,"$33,805 ","$466,897 ","$113,339 ","$580,236 ","$24,832 ","$196,970 ","$2,692 ","$14,616 ","$67,434 ","23,109","2,590",0,250,"1,212",496,"2,634",78,"15,104","198,729",4,0,"60,545","1,106",751,4,"1,605","3,630","198,729","34,846","60,545","263,202","82,751","47,801","4,780","9,678",235,"9,913","92,429","92,664","18,407","6,100","2,771",331,228,34,748,"7,902","9,062",52,"1,764",176,"6,138",69,412,"$6,250 ","$7,917 ",$0 ,$0 ,$0 ,$0 ,"$4,597 ","$5,493 ","$3,890 ","$4,649 ","$4,243 ","$5,072 ",,,"$4,243 ","$5,071 ","$1,856 ","$2,219 ",Yes,Yes,Yes,"18,150",20,,Yes,CA0131,17-18
BRAWLEY PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,400 MAIN ST.,BRAWLEY,92227,2491,7603441891,(760) 344-1891,brawley-ca.gov/section/Library,3,Yes,,5,"27,417","3,026","4,135","7,161","20,256","9,057","2,580",1,0,0,1,1,2,"60,980","2,636",3,11,1,1,8,3,4,0,9,"$527,384 ","$501,600 ","$25,784 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$25,784 ","$501,600 ","$32,692 ","$24,232 ","$3,123 ",$0 ,"$5,337 ","$27,355 ","$279,166 ","$59,240 ","$338,406 ",$0 ,"$130,502 ",$125 ,"$18,572 ","$30,204 ","16,980","2,289",191,582,"2,902",23,640,42,"1,343",0,1,0,"52,542",0,0,1,"1,432","1,519",0,"33,273","52,733","56,318","75,651","33,836","9,582",0,0,0,"75,651","75,651",18,23,"5,799",52,34,10,128,"1,199","1,510",18,258,16,941,8,183,"$4,388 ","$5,755 ",,,,,,,,,,,"$1,633 ","$2,155 ",,,"$1,394 ","$1,805 ",No,No,Yes,"6,217",19,,No,CA0013,17-18
BUENA PARK LIBRARY DISTRICT,Orange,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,Santiago,7150 LA PALMA AVE.,BUENA PARK,90620,2547,7148264100,(714) 826-4100,http://www.buenaparklibrary.org/,4,No,,12,"83,995","5,831","10,205","16,036","67,959","26,961","5,009",1,0,0,0,1,1,"259,968","2,808",2,38,3,6,22,16,3,5,28,"$3,660,435 ","$1,863,530 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,796,905 ",$0 ,"$2,993,968 ","$179,279 ","$77,644 ","$4,992 ","$71,654 ","$24,989 ","$82,636 ","$1,401,855 ","$1,011,319 ","$2,413,174 ","$109,415 ","$401,515 ",$0 ,"$17,227 ",$0 ,"42,162","5,608",0,"1,385","7,012","2,768","8,110",94,"4,762","21,438",17,0,"106,280","5,825","3,362",17,"3,467","6,582","21,438","58,510","106,280","142,951","314,389","194,760","10,562","13,129","8,254","21,383","327,518","335,772",0,8,"39,784",706,543,51,907,"24,904","26,835",166,"12,588",377,"12,316",112,"1,024","$9,046 ","$12,381 ",,,,,,,"$4,508 ","$6,171 ","$5,280 ","$7,226 ","$3,416 ","$4,676 ","$5,280 ","$7,226 ","$2,782 ","$3,806 ",No,No,No,"31,165",22,"60,901",No,CA0014,17-18
BURBANK PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,110 N. GLENOAKS BLVD.,BURBANK,91502,1203,8182385551,(818) 238-5580,http://www.BurbankLibrary.com,3,Yes,,17,"107,149","4,828","10,442","15,270","91,879","112,769","9,490",1,2,0,0,3,3,"781,388","7,830",6.73,94,0,24.64,39.95,30.95,9,24.64,64.59,"$6,877,272 ","$6,716,421 ","$46,038 ","$12,500 ",$0 ,$0 ,$0 ,"$20,000 ","$20,000 ","$102,313 ","$30,788 ","$6,302,437 ","$443,819 ","$265,320 ","$18,317 ","$100,739 ","$59,443 ","$283,637 ","$3,499,791 ","$1,431,686 ","$4,931,477 ","$34,478 ","$927,141 ",$0 ,"$92,950 ","$139,740 ","129,343","23,482",0,"3,360","25,866","8,777","43,376",333,"10,917","3,841",13,0,"348,656","1,438",19,13,"7,853","16,298","3,841","195,831","348,656","422,085","872,068","357,546","15,724","25,187","27,866","53,053","897,255","925,121",212,62,"104,932",627,354,52,"1,085","26,546","33,765",255,"15,009",99,"11,537",221,"6,134","$11,316 ","$14,880 ","$8,863 ","$11,654 ","$5,759 ","$7,573 ","$4,520 ","$6,231 ","$4,185 ","$5,770 ",$0 ,$0 ,"$3,427 ","$4,724 ","$6,302 ","$8,288 ","$2,607 ","$3,594 ",No,No,No,"209,076",89,"521,854",Yes,CA0015,17-18
BURLINGAME PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,480 PRIMROSE RD.,BURLINGAME,94010,4083,6505587400,(650) 558-7400,http://www.burlingame.org/library,6,Yes,,6,"37,989","2,186","5,337","7,523","30,466","29,248","7,817",1,1,0,0,2,2,"345,445","4,784",7.99,81,2,12.15,21.42,19.42,0,12.15,33.57,"$5,225,409 ","$5,047,197 ","$11,958 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$166,254 ",$0 ,"$5,243,483 ","$416,696 ","$231,686 ","$20,655 ","$112,295 ","$52,060 ","$252,341 ","$2,403,527 ","$1,284,471 ","$3,687,998 ",$0 ,"$1,138,789 ",$145 ,"$120,510 ","$8,000 ","57,600","7,148",0,"2,092","10,624","3,112","13,289",298,"7,407","78,890",31,0,"198,154","13,212",0,31,"4,737","12,245","78,890","133,406","198,154","301,286","601,361","311,696","7,836","46,638","10,755","57,393","647,999","658,754","85,676","52,420","57,436","1,121",652,123,"3,590","39,706","49,246",336,"24,980",316,"14,726",346,"5,950","$12,998 ","$15,834 ",$0 ,$0 ,"$7,604 ","$9,233 ","$7,604 ","$9,233 ","$5,640 ","$6,811 ","$6,208 ","$7,541 ","$5,380 ","$6,507 ","$5,998 ","$7,242 ","$4,319 ","$5,385 ",No,No,No,"40,661",71,"88,291",Yes,CA0016,17-18
BUTTE COUNTY LIBRARY,Butte,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1820 MITCHELL AVENUE,OROVILLE,95966,5387,5305387525,(530) 538-7642,http://www.buttecounty.net/bclibrary,4,Yes,,"1,675.00","227,621","12,313","25,298","37,611","190,010","87,316","12,250",0,4,0,2,4,6,"595,649","10,865",11,28.5,1,7,21.5,3,17.5,7,28.5,"$3,494,039 ","$3,246,028 ","$85,332 ","$28,993 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$133,686 ","$32,981 ","$3,347,582 ","$70,864 ","$14,464 ","$15,791 ","$30,287 ","$10,322 ","$30,255 ","$1,357,775 ","$581,444 ","$1,939,219 ",$0 ,"$1,337,499 ",$0 ,"$2,694 ","$6,249 ","65,688","9,167",92,890,"8,694","2,412","15,069",189,"9,776","119,396",16,0,"181,963","4,242",0,16,"4,846","13,062","119,396","107,108","182,055","325,419","806,590","184,600","5,592","40,671","2,907","43,578","847,261","850,168",249,254,"30,017","1,904","1,033",112,"1,070","25,757","32,134",451,"18,709",582,"7,048",759,"5,307","$8,322 ","$10,172 ","$5,798 ","$7,769 ",$0 ,$0 ,"$4,290 ","$5,748 ","$3,435 ","$4,602 ",$0 ,$0 ,"$3,260 ","$4,370 ","$4,290 ","$5,748 ","$2,302 ","$3,085 ",Yes,Yes,No,"65,855",65,"338,007",Yes,CA0017,17-18
CALABASAS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,200 CIVIC CENTER WAY,CALABASAS,91302,4114,8182257616,(818) 225-7616,http://www.cityofcalabasas.com/library.html,3,No,0.25,13,"24,296",800,"5,082","5,882","18,414","45,312","5,989",1,0,0,0,1,1,"170,121","2,182",0.25,23,3,4,10,6,1,4,14,"$2,322,893 ","$2,282,681 ","$4,006 ",$0 ,"$468,562 ",$0 ,$0 ,$0 ,"$468,562 ","$36,206 ",$0 ,"$1,879,309 ","$185,949 ","$39,891 ","$6,768 ","$126,990 ","$12,300 ","$46,659 ","$837,262 ","$181,122 ","$1,018,384 ","$468,562 ","$674,976 ","$1,500 ","$50,000 ",$0 ,"26,755","5,425",0,551,"4,063",887,"4,280",69,"5,223","5,304",22,0,"68,178","8,500","7,000",22,"2,538","6,122","5,304","35,998","68,178","81,916","119,889","69,209",678,"22,168","26,000","48,168","142,057","168,057",40,194,"35,020",427,265,87,"1,225","9,630","12,065",146,"7,300",119,"2,330",75,"1,210","$7,168 ","$8,952 ",,,,,,,"$5,009 ","$6,256 ",,,"$3,202 ","$3,999 ","$4,719 ","$5,894 ",,,No,No,No,"9,545",22,"132,150",Yes,CA0201,17-18
CALAVERAS COUNTY LIBRARY,Calaveras,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1299 GOLD HUNTER ROAD,SAN ANDREAS,95249,9709,2097546510,(209) 754-6510,www.calaverascountylibrary.com,3,Yes,,"1,027.00","45,157","1,942","3,969","5,911","39,246","24,119","5,108",1,7,0,0,8,8,"63,721","10,036",5.1,20,1,1,9.5,8.5,0,1,10.5,"$620,573 ","$430,467 ","$116,301 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$73,805 ","$26,301 ","$594,203 ","$26,714 ","$17,310 ",$859 ,"$6,000 ","$2,545 ","$18,169 ","$306,627 ","$43,787 ","$350,414 ",$0 ,"$217,075 ",$0 ,"$10,708 ","$83,842 ","35,093","3,954",0,382,"8,314","2,591","12,601",6,"4,196","7,006",0,0,"119,502","4,629",0,0,"2,021","4,918","7,006","80,455","119,502","147,429","133,547","44,228",45,"5,556","3,756","9,312","139,103","142,859","3,455","1,140","9,026",574,433,6,73,"9,933","11,597",279,"4,967",154,"4,966",135,"1,591","$6,228 ","$6,228 ",,,,,,,,,,,,,"$3,430 ","$4,168 ","$2,264 ","$2,983 ",No,No,No,"16,098",37,"66,498",No,CA0018,17-18
CAMARENA MEMORIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,850 ENCINAS AVE.,CALEXICO,92231,2559,7607682170,(760) 768-7480,https://calexicolibrary.org,3,Yes,,7,"41,199","3,437","8,148","11,585","29,614","14,559","7,415",1,0,0,1,1,2,"80,357","3,177",4.92,5,0,3,2,1,1,2,5,"$786,555 ","$754,903 ","$24,152 ","$7,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$24,152 ","$786,565 ","$39,463 ","$29,714 ","$3,029 ","$6,720 ",$0 ,"$32,743 ","$316,806 ","$179,846 ","$496,652 ",$0 ,"$250,450 ",$0 ,"$21,376 ","$73,381 ","36,443","5,388",498,22,589,175,838,52,"1,507","83,187",8,0,"74,930","1,906",0,8,"1,348","2,114","83,187","33,099","75,428","160,102","30,389","19,436","5,938",62,,62,"30,451","30,451",0,5,"21,580",543,414,23,122,"15,107","16,777",84,"1,375",330,"13,732",106,"1,548","$6,653 ","$8,086 ",,,,,,,"$3,961 ","$4,184 ",,,"$2,301 ","$2,797 ",,,"$2,190 ","$2,662 ",Yes,No,No,"9,580",42,,No,CA0019,17-18
CAMARILLO PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,4101 LAS POSAS RD,CAMARILLO,93010,2539,(805) 388-5222,(805) 388-5811,http://camarillolibrary.org,3,No,,19,"69,623","3,968","9,260","13,228","56,395","85,353","20,575",1,0,0,0,1,1,"411,879","3,289",14.4,38,1.64,5.8,18.88,13.24,4,5.8,24.68,"$3,655,847 ","$3,162,660 ","$28,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$464,787 ","$28,400 ","$2,816,205 ","$333,994 ","$129,924 ","$5,129 ","$198,941 ",$0 ,"$135,053 ","$82,104 ","$45,908 ","$128,012 ","$780,750 ","$2,354,199 ",$0 ,"$70,478 ","$14,943 ","92,642","15,578",0,"2,813","14,193","7,215","25,909",154,"12,416","16,440",20,0,"203,094","3,308",0,20,"4,945","11,388","16,440","94,874","203,094","259,810","644,318","331,844","7,298","61,859","127,035","188,894","706,177","833,212",0,69,"37,274",918,426,51,883,"21,965","34,955",126,"6,149",300,"15,816",441,"12,107",,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,"44,202",122,"164,482",Yes,CA0209,17-18
CARLSBAD CITY LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1775 DOVE LANE,CARLSBAD,92011,4048,7606022011,(760) 602-2038,http://www.carlsbadlibrary.org,3,No,.20/page,40,"114,622",,,,"114,622","106,249",-1,1,2,0,0,3,3,"685,188","9,776",11,199,10,25.78,77.02,29.92,37.1,25.78,102.8,"$12,144,833 ","$12,076,558 ","$68,275 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$54,907 ","$11,031,582 ","$946,751 ","$413,503 ","$109,825 ","$267,926 ","$155,497 ","$523,328 ","$4,997,715 ","$1,816,565 ","$6,814,280 ",$0 ,"$3,270,551 ","$1,763 ","$155,423 ","$485,410 ","104,391","8,391",50,"3,926","29,545","4,074","17,382",419,"14,200","8,542",29,0,"247,894","4,140",0,29,"13,451","26,185","8,542","135,112","247,944","303,861","1,063,863","557,482","10,794","104,435","85,553","189,988","1,168,298","1,253,851",276,103,"222,577","2,284","1,179",92,888,"47,675","73,945",734,"33,036",445,"14,639","1,013","25,382","$9,800 ","$14,008 ","$8,350 ","$12,100 ","$5,375 ","$7,375 ","$5,266 ","$6,888 ","$4,403 ","$5,758 ","$4,767 ","$6,235 ","$3,679 ","$4,813 ","$5,266 ","$6,888 ","$2,704 ","$3,536 ",Yes,No,No,"93,451",92,"529,144",Yes,CA0020,17-18
