Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Total Circulation,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
BANNING LIBRARY DISTRICT,Riverside,Special District Library,School District (most nearly),Member of a Federation or Cooperative,School District,Inland Library System,21 W. NICOLET ST.,BANNING,92220,4607,(951) 849-3192,(951) 849-3192,http://www.banninglibrarydistrict.org/,3,Yes,,306,"31,246","1,891","3,466","5,357","25,889","28,000","4,200",1,0,0,0,1,1,"25,192","2,704",0,9,1,1,9,6,2,1,10,"$821,900 ","$821,900 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,500 ","$1,500 ",$0 ,,"$1,076,500 ","$82,000 ","$50,000 ","$5,000 ","$22,000 ","$5,000 ","$55,000 ","$607,000 ","$109,500 ","$716,500 ","$7,000 ","$278,000 ",$0 ,"$20,000 ",$0 ,"15,589","2,046",0,89,"2,086",367,"3,431",88,,"75,277",7,"59,136","1,098",63,7,501,,"75,277","41,501","59,136","140,025","11,074","1,391","2,415","50,652",179,27,"10,540",513,186,37,292,"2,200","2,804",59,467,127,"1,733",104,312,"$6,833 ","$7,396 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,491 ","$3,782 ",$0 ,$0 ,"$2,917 ","$3,159 ","$2,917 ","$3,159 ","$2,639 ","$2,860 ",No,No,No,"22,527",14,"46,313",No,CA0167,16-17
BEAUMONT LIBRARY DISTRICT,Riverside,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Inland Library System,125 E. EIGHTH ST.,BEAUMONT,92223,2194,(951) 845-1357,(951) 845-1357,http://bld.lib.ca.us,2,Yes,,60,"83,997","7,643","17,723","25,366","58,631","39,011","9,717",1,0,1,0,1,2,"180,000","3,952",2.5,22,1.5,6.5,5.75,2,2.25,6.5,12.25,"$1,368,650 ","$1,322,623 ","$38,261 ",$0 ,"$150,000 ",$0 ,$0 ,$0 ,"$150,000 ","$7,766 ","$24,440 ","$1,501,842 ","$111,703 ","$70,762 ","$1,620 ","$22,108 ","$17,213 ","$72,382 ","$782,538 ","$303,189 ","$1,085,727 ","$38,739 ","$304,412 ",$0 ,"$17,540 ","$51,800 ","20,994","3,159",0,275,643,"1,123","7,330",31,"4,464","65,667",6,"73,293","6,838",0,6,"1,323","5,142","65,667","49,140","73,293","146,970","63,531","1,735","2,006","147,537",0,14,"12,100","2,089","1,011",35,413,"17,193","17,994",893,"12,461",118,"4,732",32,388,"$7,825 ","$10,270 ","$6,586 ","$8,432 ","$5,633 ","$7,210 ","$4,863 ","$6,376 ","$4,333 ","$5,683 ","$3,466 ","$4,530 ","$2,608 ","$3,414 ","$4,853 ","$6,375 ","$2,080 ","$2,660 ",Yes,Yes,No,"7,973",8,,Yes,CA0168,16-17
BELVEDERE-TIBURON LIBRARY,Marin,Joint Powers Authority,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1501 TIBURON BLVD,TIBURON,94920,2530,(415) 789-2665,(415) 789-2661,https://beltiblibrary.org,3,Yes,,4,"11,680",582,"1,826","2,408","9,272","8,736","1,033",1,0,0,0,1,1,"120,633","3,021",8,34,1,9,8,5.5,1.5,8,17,"$2,350,990 ","$2,098,443 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$252,547 ",,"$2,471,187 ","$198,387 ","$120,019 ","$15,117 ","$45,670 ","$17,581 ","$135,136 ","$1,257,369 ","$357,053 ","$1,614,422 ",$0 ,"$658,378 ","$2,100 ","$39,922 ",$0 ,"16,999","2,556",,686,"8,139",792,"6,464",593,"5,968","356,294",40,"55,718","1,007,438","15,193",40,"3,329","9,371","356,294","36,163","55,718","427,248","74,469","1,281","35,958","191,124","42,025","20,731","14,879","1,313",364,161,"1,691","16,725","26,838",140,"3,331",224,"13,394",424,"8,422",$0 ,"$13,729 ","$6,494 ","$7,995 ","$6,284 ","$8,153 ",$0 ,$0 ,"$5,107 ","$6,289 ","$5,950 ","$7,326 ","$4,641 ","$5,715 ",$0 ,$0 ,"$3,905 ","$4,808 ",Yes,No,No,"16,250",23,"146,400",No,CA0197,16-17
BENICIA PUBLIC LIBRARY,Solano,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,150 E. L ST.,BENICIA,94510,3281,(707) 746-4343,(707) 746-4343,https://www.benicialibrary.org,4,Yes,,13,"27,695","1,286","3,691","4,977","22,718","18,399","3,034",1,0,0,0,1,1,"206,674","3,050",4,56,1.96,6.25,12.33,6.37,4,6.25,18.58,"$2,172,067 ","$2,071,223 ","$24,435 ",$0 ,"$9,136 ",$0 ,$0 ,"$1,445 ","$10,581 ","$76,409 ","$24,435 ","$2,052,221 ","$183,252 ","$99,899 ","$5,203 ","$40,651 ","$37,499 ","$105,102 ","$1,081,452 ","$473,467 ","$1,554,919 ","$10,581 ","$314,050 ",$0 ,"$30,973 ","$75,192 ","37,692","5,002",395,"1,074","6,592","1,968","6,979",161,"4,876","6,073",19,"85,657","3,198",0,19,"2,234","5,933","6,073","42,963","86,052","105,876","111,949","2,526","10,315","301,809","33,132","42,337","23,630","1,401",462,166,"3,555","11,102","17,555",272,"6,473",190,"4,629",311,"2,898","$9,366 ","$11,384 ","$6,530 ","$7,937 ","$5,678 ","$6,902 ",,,"$4,141 ","$5,033 ","$4,978 ","$6,051 ","$3,708 ","$4,507 ","$4,125 ","$5,014 ","$3,128 ","$3,802 ",No,No,No,"30,864",20,"188,958",No,CA0163,16-17
BERKELEY PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,2090 KITTREDGE STREET,BERKELEY,94704,1427,(510) 981-6195,(510) 981-6148,http://www.berkeleypubliclibrary.org/,3,No,,11,"121,238","4,122","7,376","11,498","109,740","111,863","10,648",1,4,0,0,5,5,"1,135,601","13,624",0.27,153,3,34.3,77.96,57.41,17.55,34.3,112.26,"$18,515,711 ","$18,007,484 ","$61,534 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$446,693 ","$61,534 ","$17,702,945 ","$1,330,888 ","$698,860 ","$53,196 ","$408,058 ","$170,774 ","$752,056 ","$8,323,441 ","$5,368,523 ","$13,691,964 ",$0 ,"$2,680,093 ",$0 ,"$308,760 ","$410,769 ","148,928","15,470",0,"5,460","44,333","10,396","40,647",373,"11,649","308,827",22,"429,711","461,063","39,540",22,"15,433","34,468","308,827","265,313","429,711","823,913","655,538","11,517","225,151","1,957,007","19,475","24,637","209,329","4,307","1,465",681,"10,053","46,999","71,224",860,"30,546",605,"16,453",696,"14,172","$12,186 ","$16,752 ","$9,671 ","$12,710 ","$8,572 ","$9,847 ","$7,700 ","$9,276 ","$5,873 ","$7,041 ","$6,463 ","$7,685 ","$4,285 ","$5,092 ","$8,617 ","$10,990 ","$3,582 ","$4,129 ",Yes,Yes,No,"160,528",133,"948,000",Yes,CA0011,16-17
BEVERLY HILLS PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,444 N. REXFORD DR.,BEVERLY HILLS,90210,4877,(310) 288-2220,(310) 288-2244,http://www.bhpl.org,4,Yes,,6,"34,646","1,293","4,084","5,377","29,269","32,567","4,827",1,0,0,1,2,2,"687,251","5,250",1,117,1,18.66,39.65,32.9,5.75,18.66,58.31,"$11,659,641 ","$11,133,981 ","$34,617 ",$0 ,"$487,339 ",$0 ,$0 ,$0 ,"$487,339 ","$491,043 ","$34,617 ","$11,659,641 ","$578,655 ","$225,626 ","$28,003 ","$270,720 ","$54,306 ","$253,629 ","$4,322,157 ","$916,697 ","$5,238,854 ","$24,883 ","$5,842,132 ",$0 ,"$56,716 ","$80,096 ","56,229","2,463",0,"1,093","20,944","2,910","13,423",179,"9,478","6,319",48,"192,571","1,395",844,48,"6,764","14,602","6,319","133,879","192,571","233,484","261,376","3,892","10,668","542,985","1,152",193,"108,138",983,465,4,36,"22,047","23,930",416,"19,834",49,"2,213",49,"1,847","$13,478 ","$18,235 ",$0 ,$0 ,"$9,353 ","$11,621 ","$6,473 ","$8,041 ","$5,378 ","$6,662 ","$5,881 ","$7,286 ","$4,541 ","$5,625 ","$6,098 ","$7,500 ","$3,612 ","$4,474 ",No,No,Yes,"9,394",60,"328,922",Yes,CA0012,16-17
BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,Ventura,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,Black Gold Cooperative Library System,119 N. EIGHTH ST.,SANTA PAULA,93060,2709,(805) 525-3615,(805) 525-3615,http://www.blanchardlibrary.org,3,Yes,,108,"30,654","2,314","5,150","7,464","23,190","8,749","23,778",1,0,0,0,1,1,"74,849","1,872",1.87,18,1.8,0.75,8.22,5.42,1,0,8.97,"$893,910 ","$780,847 ","$34,040 ",$0 ,"$16,721 ",$0 ,$0 ,$0 ,"$16,721 ","$79,023 ","$29,148 ","$767,625 ","$20,217 ","$11,570 ","$3,509 ","$5,138 ",$0 ,"$15,079 ","$400,884 ","$124,731 ","$525,615 ",$0 ,"$221,793 ",$0 ,"$3,463 ","$64,244 ","22,213","2,400",0,231,"1,174",334,"2,580",76,"14,218","91,557",4,"63,198","12,942",372,4,"1,315","3,373","91,557","38,585","63,198","158,589","48,404","4,440","16,675","95,756","17,734","5,469","4,846",385,164,23,405,"6,699","7,289",51,"2,015",113,"4,684",34,185,"$6,250 ","$7,500 ",,,,,"$4,507 ","$5,385 ","$3,813 ","$4,557 ","$4,160 ","$4,971 ","$3,813 ","$4,557 ","$4,160 ","$4,971 ","$1,820 ","$2,175 ",Yes,Yes,Yes,"16,166",14,,No,CA0131,16-17
BRAWLEY PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,400 MAIN ST.,BRAWLEY,92227,2491,(760) 344-1891,(760) 344-1891,brawley-ca.gov/section/Library,3,Yes,,5,"26,928","2,391","4,032","6,423","20,505","9,015","2,568",1,0,0,1,2,2,"61,347","2,636",3,12,1,2,8,3,4,0,10,"$614,855 ","$590,047 ","$24,808 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$24,808 ","$590,047 ","$37,043 ","$27,079 ","$3,216 ",$0 ,"$6,748 ","$30,295 ","$322,747 ","$129,148 ","$451,895 ",$0 ,"$101,109 ",$111 ,"$11,495 ","$33,204 ","15,791","2,241",176,588,"2,791",26,593,42,"1,401",0,0,"52,264",0,0,0,"4,053","1,427",0,"34,232","52,440","55,866","35,520","8,194",0,"73,430",6,11,"5,329",68,28,8,93,"1,187","1,341",16,264,12,923,4,61,"$4,388 ","$5,755 ","$2,935 ","$4,254 ",,,,,,,,,"$1,633 ","$2,155 ",,,"$1,394 ","$1,805 ",No,No,Yes,"6,012",21,,No,CA0013,16-17
BUENA PARK LIBRARY DISTRICT,Orange,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,Santiago,7150 LA PALMA AVE.,BUENA PARK,90620,2547,(714) 826-4100,(714) 826-4100,http://www.buenaparklibrary.org/,4,No,,12,"83,884","5,581","10,825","16,406","67,478","28,998","5,034",1,0,0,0,1,1,"273,900","2,808",2,41,3,6,23,17,3,5,29,"$3,413,506 ","$1,916,328 ","$5,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,492,178 ",,"$3,457,361 ","$166,374 ","$77,815 ","$6,400 ","$58,499 ","$23,660 ","$84,215 ","$1,357,316 ","$1,507,336 ","$2,864,652 ","$390,244 ","$426,335 ",$0 ,"$29,383 ",$0 ,"40,463","5,356",0,"1,335","6,758","2,663","7,934",97,"5,255","18,588",17,"105,548",454,0,17,"3,469","6,769","18,588","59,729","105,548","138,942","195,551","9,434","10,548","344,663",0,14,"39,036","1,176",501,90,"1,416","25,382","27,481",164,"12,553",337,"12,829",84,683,"$8,827 ","$12,080 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,399 ","$6,022 ","$5,152 ","$7,050 ","$3,333 ","$4,563 ","$5,152 ","$7,050 ","$2,174 ","$3,715 ",No,No,No,"36,956",22,"59,588",No,CA0014,16-17
BURBANK PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,110 N. GLENOAKS BLVD.,BURBANK,91502,1203,(818) 238-5551,(818) 238-5580,http://www.BurbankLibrary.com,3,Yes,,17,"105,033","4,938","10,699","15,637","89,396","116,421","10,490",1,2,0,0,3,3,"830,525","7,770",6.79,94,0,25.25,39.3,31.3,8,25.25,64.55,"$6,605,343 ","$6,440,433 ","$29,690 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$135,220 ","$29,690 ","$6,336,829 ","$498,346 ","$269,308 ","$20,508 ","$121,754 ","$86,776 ","$289,816 ","$3,447,756 ","$1,382,446 ","$4,830,202 ","$17,413 ","$1,008,281 ",$0 ,"$106,357 ","$130,391 ","142,577","25,407",0,"3,669","26,715","9,457","44,958",397,"14,781","3,628",20,"423,707",890,0,20,"9,579","21,880","3,628","255,723","423,707","499,425","476,522","20,122","16,504","987,114",289,81,"110,240","1,075",378,73,"1,714","27,170","36,528",273,"16,912",105,"10,258",246,"7,644","$11,316 ","$14,880 ","$8,863 ","$11,654 ","$5,646 ","$7,425 ","$4,520 ","$6,231 ","$4,185 ","$5,770 ",$0 ,$0 ,"$3,427 ","$4,724 ","$6,302 ","$8,288 ","$2,607 ","$3,594 ",No,No,No,"210,400",89,"610,018",Yes,CA0015,16-17
BURLINGAME PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,480 PRIMROSE RD.,BURLINGAME,94010,4083,(650) 558-7400,(650) 558-7400,http://www.burlingame.org/library,6,Yes,,6,"37,983","2,250","4,792","7,042","30,941","27,237","7,540",1,1,0,0,2,2,"360,182","4,784",7,72,2,12.09,21.29,19.29,0,12.09,33.38,"$4,854,358 ","$4,710,029 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$144,329 ",,"$4,854,358 ","$395,743 ","$232,646 ","$20,189 ","$95,973 ","$46,935 ","$252,835 ","$2,261,520 ","$1,126,245 ","$3,387,765 ",$0 ,"$1,070,850 ",$0 ,"$123,510 ","$8,000 ","56,753","7,302",0,"2,204","10,604","3,322","13,064",286,"7,862","68,482",31,"195,056","6,385",0,31,"4,796","12,735","68,482","131,001","195,056","287,523","329,481","7,853","36,121","676,080","80,583","52,784","58,732","2,021",746,160,"4,128","39,404","48,128",337,"24,445",409,"14,959",369,"4,596","$12,619 ","$15,373 ",$0 ,$0 ,"$7,383 ","$8,964 ","$7,383 ","$8,964 ","$5,457 ","$6,611 ","$6,027 ","$7,321 ","$5,223 ","$6,317 ","$5,824 ","$7,031 ","$4,193 ","$5,095 ",No,No,No,"40,270",71,"89,126",Yes,CA0016,16-17
BUTTE COUNTY LIBRARY,Butte,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1820 MITCHELL AVENUE,OROVILLE,95966,5387,(530) 538-7525,(530) 538-7642,http://www.buttecounty.net/bclibrary,4,Yes,,"1,675.00","226,404","12,241","25,149","37,390","189,014","121,164","12,318",0,4,0,2,6,6,"617,098","10,865",9,29,1,7.5,21.5,2,18.5,7.5,29,"$3,796,259 ","$3,559,100 ","$58,793 ","$63,719 ","$198,650 ",$0 ,"$26,345 ",$0 ,"$224,995 ","$114,647 ","$36,646 ","$3,942,468 ","$99,155 ","$29,400 ","$11,626 ","$43,155 ","$14,974 ","$41,026 ","$1,367,438 ","$559,338 ","$1,926,776 ","$224,995 ","$1,916,537 ",$0 ,$568 ,"$30,784 ","63,857","9,792",130,844,"8,577","2,145","14,019",193,"9,757","103,552",16,"193,648","8,395",0,16,"4,687","13,403","103,552","119,999","193,778","320,135","285,567","9,299","33,099","864,670",345,253,"32,906","3,453","1,240",109,656,"23,760","35,951",762,"17,560",478,"6,200",864,"11,535","$8,322 ","$10,172 ","$5,798 ","$7,769 ",$0 ,$0 ,"$4,163 ","$5,578 ","$3,332 ","$4,467 ",$0 ,$0 ,"$2,489 ","$3,335 ","$4,163 ","$5,578 ","$2,255 ","$3,021 ",Yes,Yes,No,"69,262",63,"239,609",Yes,CA0017,16-17
CALABASAS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,200 CIVIC CENTER WAY,CALABASAS,91302,4114,(818) 225-7616,(818) 225-7616,http://www.cityofcalabasas.com/library.html,3,No,,13,"24,202","1,131","3,456","4,587","19,615","45,196","6,247",1,0,0,0,1,1,"155,593","2,182",0.25,23,3,4,10,6,1,4,14,"$1,880,716 ","$1,852,418 ",$0 ,$0 ,"$471,500 ",$0 ,$0 ,$0 ,"$471,500 ","$28,298 ",,"$1,811,083 ","$165,847 ","$39,500 ","$6,375 ","$106,672 ","$13,300 ","$45,875 ","$808,170 ","$173,828 ","$981,998 ","$471,281 ","$663,238 ","$1,200 ","$45,000 ",$0 ,"26,404","5,098",0,546,"4,013",829,"4,079",71,"4,583","4,686",20,"66,843","7,585","7,000",20,"2,376","5,231","4,686","35,341","66,843","79,712","78,346",790,"9,893","131,734",41,122,"26,864",666,232,115,"1,660","8,870","12,040",100,"4,630",132,"4,240",87,"1,510","$7,036 ","$8,787 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,917 ","$6,141 ",$0 ,$0 ,"$3,143 ","$3,925 ","$4,632 ","$5,785 ",$0 ,$0 ,No,No,No,"12,000",22,"84,669",Yes,CA0201,16-17
CALAVERAS COUNTY LIBRARY,Calaveras,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1299 GOLD HUNTER ROAD,SAN ANDREAS,95249,9709,(209) 754-6510,(209) 754-6510,www.calaverascountylibrary.com,3,Yes,,"1,027.00","45,168",996,"2,561","3,557","41,611","23,295","4,934",1,7,0,0,8,8,"60,420","10,036",5.2,21,1,1,8.45,7.45,0,1,9.45,"$509,102 ","$417,916 ","$29,223 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$61,963 ","$29,223 ","$484,881 ","$17,542 ","$9,416 ",$789 ,"$6,000 ","$1,337 ","$10,205 ","$293,639 ","$50,529 ","$344,168 ",$0 ,"$123,171 ",$0 ,"$8,618 ","$65,665 ","43,143","3,813",0,372,"7,593","2,571","10,439",6,"5,100","4,264",0,"137,855","3,822",0,0,"2,850","6,347","4,264","90,899","137,855","160,157","45,929",152,"3,997","114,915",142,183,"10,959",512,227,4,59,"3,724","4,548",210,"3,461",17,263,54,765,"$6,228 ","$6,228 ",,,,,,,,,,,,,"$3,363 ","$4,086 ","$2,224 ","$2,943 ",No,No,No,"23,283",37,"35,616",No,CA0018,16-17
CAMARENA MEMORIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,850 ENCINAS AVE.,CALEXICO,92231,2559,(760) 768-2170,(760) 768-7480,https://calexicolibrary.org,3,Yes,,7,"40,921","3,097","7,040","10,137","30,784","11,903","5,057",1,0,0,1,2,2,"94,717","3,177",5.22,5,0,3,2,1,1,2,5,"$712,780 ","$671,516 ","$26,836 ","$10,056 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,372 ","$26,836 ","$671,516 ","$28,120 ","$18,722 ","$2,923 ","$6,475 ",$0 ,"$21,645 ","$213,428 ","$195,168 ","$408,596 ",$0 ,"$234,800 ",$0 ,"$9,445 ","$79,065 ","40,728","5,087",487,18,605,162,746,52,"1,657","3,494",8,"67,344",449,0,8,"1,159","1,848","3,494","21,529","67,831","72,736","24,370","8,332",,"39,972",0,1,"33,290",979,412,17,123,"17,150","19,665",79,"1,360",333,"15,790",138,"2,392","$6,653 ","$8,086 ",,,,,,,"$3,961 ","$4,184 ",,,"$2,301 ","$2,797 ",,,"$2,190 ","$2,662 ",Yes,No,No,"8,315",42,,Yes,CA0019,16-17
CAMARILLO PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,4101 LAS POSAS RD,CAMARILLO,93010,2539,(805) 388-5222,(805) 388-5811,http://camarillolibrary.org,3,No,,19,"69,623","4,177","10,165","14,342","55,281","79,204","11,520",1,0,0,0,1,1,"420,813","3,289",19.4,40,3,5.8,21.23,6.77,11.46,5.8,27.03,"$4,543,921 ","$4,187,831 ","$28,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$327,690 ","$28,400 ","$4,263,089 ","$304,707 ","$112,309 ","$5,195 ","$187,203 ",$0 ,"$117,504 ","$80,993 ","$47,252 ","$128,245 ","$161,237 ","$3,830,137 ",$0 ,"$87,534 ","$3,663 ","88,690","14,958",0,"2,714","13,785","7,383","24,428",167,"12,103","15,812",16,"195,547","1,903",0,16,"4,244","15,641","15,812","91,899","195,547","249,755","342,253","7,878","51,025","725,129",0,8,"37,242","1,244",387,45,601,"22,459","33,959",129,"6,362",258,"16,097",425,"10,899",,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,"49,776",122,"171,109",Yes,CA0209,16-17
CARLSBAD CITY LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1775 DOVE LANE,CARLSBAD,92011,4048,(760) 602-2011,(760) 602-2038,http://www.carlsbadlibrary.org,3,No,.15/page,40,"113,725",,,,"113,725","105,929",-1,1,2,0,0,3,3,"720,205","9,776",11,195,9,25.5,76.78,30.62,37.16,25.5,102.28,"$12,554,252 ","$12,503,272 ","$50,980 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$50,980 ","$12,169,635 ","$858,950 ","$336,784 ","$110,694 ","$292,685 ","$118,787 ","$447,478 ","$5,035,340 ","$1,779,289 ","$6,814,629 ",$0 ,"$4,496,056 ","$3,158 ","$152,753 ","$471,836 ","102,467","7,511",50,"4,810","35,579","4,811","19,132",371,"13,192","6,505",29,"243,799","3,818",0,29,"10,972","24,119","6,505","133,821","243,849","305,465","565,343","11,353","82,245","1,156,729",225,67,"254,437","3,075","1,103",97,"1,703","44,631","65,398",664,"30,687",439,"13,944",772,"19,064","$9,458 ","$13,525 ","$7,058 ","$9,717 ","$5,192 ","$7,117 ","$5,264 ","$6,887 ","$4,401 ","$5,757 ","$4,765 ","$6,234 ","$3,679 ","$4,813 ","$5,264 ","$6,887 ","$2,703 ","$3,536 ",Yes,No,No,"89,365",86,-1,Yes,CA0020,16-17
CERRITOS PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,18025 BLOOMFIELD AVE.,CERRITOS,90703,8525,(562) 916-1350,(562) 916-1342,http://www.cerritos.us/library,3,Yes,,9,"50,039","1,935","5,731","7,666","42,373","24,494","5,411",1,0,0,0,1,1,"2,645,395","3,365",4,90,1,6,37,36,0,0,43,"$5,323,290 ","$5,323,290 ",$0 ,$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$25,000 ",$0 ,,"$5,336,520 ","$465,380 ","$291,500 ","$25,000 ","$117,880 ","$31,000 ","$316,500 ","$2,785,830 ","$1,731,430 ","$4,517,260 ","$25,000 ","$353,880 ","$2,186 ","$93,000 ",$0 ,"98,694","9,575",0,365,"7,502","2,106","11,220",287,"11,529","6,307",29,"244,833","1,052",359,29,"4,861","13,053","6,307","136,564","244,833","270,178","240,701","19,589","16,796","432,715",718,205,"73,333",937,431,32,581,"15,735","18,298",267,"12,104",164,"3,631",43,"1,982","$8,797 ","$10,986 ",$0 ,$0 ,"$6,082 ","$7,584 ",$0 ,$0 ,"$5,113 ","$6,379 ",$0 ,$0 ,"$3,879 ","$7,453 ","$4,980 ","$6,224 ","$3,167 ","$4,446 ",No,No,No,"222,865",155,"304,890",Yes,CA0022,16-17
