Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Literacy Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Reference Questions,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs,Children's Program Attendance,# of Young Adult Programs,Young Adult Program Attendance,# of Adult Programs,Adult Program Attendance,"Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,Vulnerable populations,Personal economic development,Crisis support,Personal learning and knowledge development,Social capital,FSCS ID,Fiscal Year
LOOMIS LIBRARY & COMMUNITY LEARNING CENTER,Placer,,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",,6050 LIBRARY DR.,LOOMIS,95650,,(916) 824-2905,(916) 824-2905,https://loomislibrary.org/,,"6,887","1,624",413,1,0,0,1,"4,488","$254,358 ",$0 ,$0 ,$0 ,"$254,358 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$77,193 ","$15,081 ","$92,274 ","$13,392 ",$556 ,"$13,948 ","$6,300 ","$3,486 ","$23,734 ","$114,198 ","$230,206 ","$5,452 ",4,1,1,1.5,2.5,1.1,"5,592",572,"11,640",0,991,0,932,0,6,1,7,17,"1,751","21,931","2,704","15,126","10,818",,0,231,231,"15,126","15,357",0,0,114,"2,258",29,371,131,"1,940",0,0,274,"4,569",Yes,696,,,5,Yes,Yes,Yes,Yes,Yes,CA0270,18-19
LOS ANGELES PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,630 W. FIFTH ST.,LOS ANGELES,90071,2097,2132287515,(213) 228-7272,http://www.lapl.org,464,"4,040,079","2,338,648","860,866",1,72,0,73,"1,396,361","$178,533,355 ","$247,752 ","$12,500 ","$4,192,824 ","$182,986,431 ","$247,752 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$74,877,493 ","$36,087,762 ","$110,965,255 ","$5,553,611 ","$594,060 ","$6,147,671 ","$7,208,503 ","$1,939,839 ","$15,296,013 ","$56,725,163 ","$182,986,431 ",$0 ,"1,197.00",399,399,612,"1,011.00",80,"1,551,826","470,709","5,826,763","425,362","235,960","150,575","313,260","9,725",215,2,217,"4,946","192,842","10,214,070","1,794,116","9,108,609","3,610,652","533,459","8,001,528",,"8,001,528","17,110,137","17,110,137","1,498",201,"6,733","195,259","3,663","44,315","13,091","140,000","1,678","93,189","23,487","379,574",No,"7,090,245","12,396,327","1,461,978","1,494",Yes,Yes,No,Yes,Yes,CA0063,18-19
LOS GATOS LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,100 VILLA AVENUE,LOS GATOS,95030,6981,4083546891,(408) 354-6896,http://library.losgatosca.gov,14,"30,988","28,526","8,263",1,0,0,1,"29,240","$2,556,278 ","$8,160 ","$6,000 ","$83,000 ","$2,653,438 ",$0 ,$0 ,$0 ,$0 ,"$21,400 ","$21,400 ","$1,293,230 ","$450,870 ","$1,744,100 ","$97,663 ","$10,214 ","$107,877 ","$51,602 ","$42,314 ","$201,793 ","$553,840 ","$2,499,733 ","$21,400 ",36,6,6.14,10.06,16.2,2,"36,473","1,967","84,981","454,716","11,567","340,582","6,976","15,615",8,4,12,104,"2,646","266,573","27,438","420,345","126,724","1,272","57,103","24,318","81,421","477,448","501,766",0,0,428,"20,971",29,299,353,"3,494",26,"1,310",810,"24,764",No,"34,406","159,052",,48,Yes,Yes,No,Yes,Yes,CA0164,18-19
MADERA COUNTY LIBRARY,Madera,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,121 N. G ST.,MADERA,93637,3592,5596757871,(559) 675-7871,www.maderalibrary.org,"2,145.00","159,536","19,779","4,012",1,4,0,5,"43,300","$1,570,804 ",$0 ,"$14,304 ","$49,029 ","$1,634,137 ",$0 ,"$1,659,000 ",$0 ,$0 ,$0 ,"$1,659,000 ","$798,562 ","$334,644 ","$1,133,206 ","$53,685 ","$3,042 ","$56,727 ","$19,500 ","$18,618 ","$94,845 ","$338,589 ","$1,566,640 ","$1,659,000 ",25,2,2,18,20,2,"72,222","8,510","190,204","7,839","6,537",664,"9,419",0,38,1,39,135,"7,717","143,808","23,704","181,754","74,544","1,962",,728,728,"181,754","182,482","51,811","29,410",356,"9,262",22,578,240,"1,842",18,"1,174",618,"11,682",Yes,"35,359","175,876","36,201",34,Yes,Don't know,No,Yes,Yes,CA0064,18-19
MARIN COUNTY FREE LIBRARY,Marin,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,"3501 CIVIC CENTER DR, RM 414",SAN RAFAEL,94903,4189,4154733220,(415) 473-6058,http://www.marinlibrary.org,520,"143,752","84,267","13,740",0,10,1,11,"59,517","$16,088,042 ",$0 ,"$15,000 ","$773,720 ","$16,876,762 ",$0 ,"$500,000 ",$0 ,$0 ,$0 ,"$500,000 ","$6,065,289 ","$3,392,105 ","$9,457,394 ","$484,373 ","$55,632 ","$540,005 ","$190,810 ","$115,221 ","$846,036 ","$5,452,063 ","$15,755,493 ","$791,021 ",108,28,28,62.7,90.7,4.24,"152,185","18,195","342,223","156,747","28,998","11,897","46,557",100,57,3,60,710,"22,965","1,110,733","124,000","1,389,770","707,915","28,692","235,345","100,628","335,973","1,625,115","1,725,743","63,542","134,549","1,005","32,875",386,"6,648",884,"11,694",,,"2,275","51,217",No,"169,392","507,877","294,002",159,Yes,Yes,Yes,Yes,Yes,CA0065,18-19
MARIPOSA COUNTY LIBRARY,Mariposa,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,4978 10TH ST.,MARIPOSA,95338,106,2099662140,(209) 966-2140,http://www.mariposalibrary.org/home.html,"1,456.00","18,068","5,002",585,1,4,0,5,"13,774","$692,079 ","$43,000 ",$0 ,"$24,000 ","$759,079 ","$43,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$341,833 ","$135,893 ","$477,726 ","$56,434 ","$2,500 ","$58,934 ","$12,000 ","$13,000 ","$83,934 ","$18,000 ","$579,660 ",$0 ,23,1,1,3,4,32,"27,192","4,367","48,443","3,469","4,835","1,675","8,531",0,33,1,34,97,"4,954","114,000","6,430","112,362","24,631",272,,,,"112,362","112,362","25,913","24,911",102,"1,530",42,258,40,236,,,184,"2,024",Yes,"89,000",,,30,Yes,Yes,Yes,Yes,Yes,CA0192,18-19
MENDOCINO COUNTY LIBRARY,Mendocino,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,880 N. BUSH ST.,UKIAH,95482,3919,7072342873,(707) 463-4490,https://www.mendolibrary.org,"3,510.00","89,009","51,500","8,413",1,4,1,6,"36,757","$3,239,524 ","$6,901 ","$104,448 ","$103,050 ","$3,453,923 ",$0 ,"$190,139 ",$0 ,$0 ,$0 ,"$190,139 ","$1,474,825 ","$753,885 ","$2,228,710 ","$224,745 ","$18,254 ","$242,999 ","$134,442 ","$86,276 ","$463,717 ","$1,085,242 ","$3,777,669 ","$190,139 ",34.45,7.8,10.8,23.65,34.45,5.64,"39,652","7,455","126,474","109,868","9,290","33,829","22,844","51,113",11,4,15,169,"11,296","451,329","19,188","574,245","69,818","2,543","77,449","2,251","79,700","651,694","653,945","126,329","104,229",828,"14,816",209,"1,479",884,"11,865",,,"1,921","28,160",No,"42,364","183,256",,50,Yes,Yes,Yes,Yes,Yes,CA0066,18-19
MENLO PARK PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,800 ALMA ST.,MENLO PARK,94025,3460,6503302500,(650) 330-2520,http://menlopark.org/library,19,"35,790","26,377","3,201",1,1,0,2,"37,846","$3,389,924 ","$41,553 ",$0 ,"$135,000 ","$3,566,477 ","$41,553 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,893,124 ","$602,873 ","$2,495,997 ","$264,500 ","$24,070 ","$288,570 ","$44,461 ","$77,664 ","$410,695 ","$595,820 ","$3,502,512 ",$0 ,48,8.25,8.25,16.75,25,9,"53,381","5,387","129,275","155,894","11,849","16,418","16,118","17,057",32,3,35,189,"5,037","281,533","24,899","593,479","283,281","10,381","81,697","11,542","93,239","675,176","686,718","49,003","61,628",569,"20,498",23,810,150,"2,859",7,"1,447",742,"24,167",No,"24,108","100,868","443,116",22,Yes,Yes,Yes,Yes,Yes,CA0067,18-19
MERCED COUNTY LIBRARY,Merced,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,2100 O ST.,MERCED,95340,3637,2093857485,(209) 385-7484,http://www.mercedcountylibrary.org,"1,988.52","282,928","36,801","12,773",1,11,1,13,"73,551","$3,423,623 ","$102,241 ","$13,631 ","$257,756 ","$3,797,251 ","$85,297 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,306,514 ","$1,126,659 ","$2,433,173 ","$132,202 ","$9,203 ","$141,405 ","$29,890 ",$0 ,"$171,295 ","$754,963 ","$3,359,431 ","$30,898 ",44,5,5,19,24,10,"65,918","8,151","232,687",221,"4,006",113,"5,749",0,9,3,12,110,"16,727","321,828","72,458","216,107","112,731","8,996",342,"4,206","4,548","216,449","220,655","41,165","49,570","1,396","19,693",289,"2,933",415,"2,361",101,"2,722","2,100","24,987",Yes,"32,278","150,016","22,395",64,Yes,No,No,Yes,Yes,CA0068,18-19
MILL VALLEY PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,375 THROCKMORTON AVE.,MILL VALLEY,94941,2698,4153894292,(415) 389-4292,http://millvalleylibrary.org,5,"14,675","9,900","1,543",1,0,0,1,"27,000","$2,402,089 ","$10,119 ",$0 ,"$242,924 ","$2,655,132 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,314,943 ","$445,860 ","$1,760,803 ","$120,905 ","$11,973 ","$132,878 ","$58,302 ","$18,248 ","$209,428 ","$684,901 ","$2,655,132 ",$0 ,43,7.18,8.18,11.83,20.01,4.53,"26,260","2,562","100,748","156,474","6,976","11,897","6,383","23,062",49,3,52,336,"3,065","226,956","22,990","238,016","110,628","2,141","24,089","11,604","35,693","262,105","273,709","45,551","39,724",707,"24,905",107,"2,036",585,"11,783",219,"6,640","1,399","38,724",No,"12,561","118,739",,14,Yes,Yes,No,Yes,Yes,CA0069,18-19
MISSION VIEJO LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,100 CIVIC CENTER,MISSION VIEJO,92691,5518,9498307100,(949) 830-7100,http://www.cmvl.org,18,"96,434","151,356","7,920",1,0,0,1,"41,500","$3,049,003 ","$16,965 ","$44,650 ","$420,770 ","$3,531,388 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,909,055 ","$736,631 ","$2,645,686 ","$170,874 ","$11,000 ","$181,874 ","$128,501 ","$22,500 ","$332,875 ","$827,699 ","$3,806,260 ",$0 ,76,12.5,13,23,36,7,"70,818","5,804","153,373","12,750","6,065","4,389","9,813","15,811",18,3,21,220,"3,021","771,773","76,453","1,008,098","607,697","15,842","86,961","64,067","151,028","1,095,059","1,159,126",215,34,373,"14,461",29,555,50,"9,990",83,"3,381",452,"25,006",Yes,"27,625","192,956",,30,Yes,Yes,No,Yes,Yes,CA0198,18-19
MODOC COUNTY LIBRARY,Modoc,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,212 W. THIRD ST.,ALTURAS,96101,3913,5302336340,(530) 233-6340,http://modoccountylibrary.org,"4,092.00","9,602","6,327",518,1,3,0,4,"6,765","$239,000 ","$4,368 ",$0 ,"$17,000 ","$260,368 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$123,352 ","$47,105 ","$170,457 ","$3,307 ","$1,529 ","$4,836 ",$600 ,$0 ,"$5,436 ","$86,794 ","$262,687 ",$0 ,8,1,1,3,4,0.1,"16,830","2,063","66,047","16,540","2,576","6,014","5,687",0,1,0,1,43,"2,236","13,500",750,"24,017","3,806",14,,,,"24,017","24,017",0,0,32,297,0,0,0,0,0,0,32,297,No,"2,344",,,15,No,No,No,No,No,CA0070,18-19
MONO COUNTY FREE LIBRARY,Mono,County Library with Dedicated Tax,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,400 SIERRA PARK RD.,MAMMOTH LAKES,93546,1120,7609348670,(760) 934-4777,http://www.monocolibraries.org,"3,028.00","13,616","15,324","1,426",0,7,0,7,"25,276","$1,051,943 ",$0 ,$0 ,"$133,848 ","$1,185,791 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$649,814 ","$205,643 ","$855,457 ","$53,291 ","$2,405 ","$55,696 ","$4,437 ",$0 ,"$60,133 ","$152,546 ","$1,068,136 ",$0 ,19,1.75,3.93,4.63,8.56,0.4,"23,535","15,150","79,233","8,921","6,211","4,418","14,391",0,3,3,6,112,"9,698","109,558",719,"90,156","15,819",452,"6,363",,"6,363","96,519","96,519",0,12,825,"10,608",,,223,"2,509",,,"1,048","13,117",Yes,"26,743",,"11,461",50,Yes,Yes,Don't know,Yes,Yes,CA0071,18-19
MONROVIA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,321 S. MYRTLE AVE.,MONROVIA,91016,2848,6262568274,(626) 256-8259,http://www.monroviapubliclibrary.org,14,"38,529","73,779","21,334",1,0,1,2,"27,997","$2,276,559 ","$104,484 ",$0 ,"$111,514 ","$2,492,557 ","$86,872 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,133,669 ","$297,737 ","$1,431,406 ","$102,768 ","$4,398 ","$107,166 ","$25,040 ","$8,860 ","$141,066 ","$870,206 ","$2,442,678 ",$0 ,33,6.5,9,11.25,20.25,3.9,"33,643","2,825","95,422","12,888","2,369","4,510","1,748",262,7,4,11,69,"2,640","177,335","42,724","225,400","155,714","8,733","10,847","6,871","17,718","236,247","243,118",45,2,262,"14,797",52,874,198,"2,912",320,"15,922",512,"18,583",No,"20,235","120,036","41,397",38,Yes,Yes,Yes,Yes,Yes,CA0072,18-19
MONTEREY COUNTY FREE LIBRARIES,Monterey,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,188 SEASIDE CIRCLE,MARINA,93933,2500,8318837573,(831) 899-2055,http://www.montereycountyfreelibraries.org,"3,125.00","234,299","124,584","15,499",0,15,3,18,"81,425","$9,341,359 ","$165,165 ",$0 ,"$133,556 ","$9,640,080 ","$90,483 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,509,522 ","$1,893,898 ","$5,403,420 ","$213,516 ","$10,909 ","$224,425 ","$156,323 ","$97,411 ","$478,159 ","$3,040,842 ","$8,922,421 ","$237,100 ",90,11,17,53,70,5,"124,214","17,928","341,185","80,201","9,696","10,699","21,215",0,28,4,32,217,"25,543","684,329","91,549","460,420","168,794","26,032","35,795","276,463","312,258","496,215","772,678","1,891","1,188","1,008","31,964",229,"4,717",409,"8,496",129,"6,331","1,646","45,177",Yes,"122,726","222,337","101,325",226,Yes,Yes,Don't know,Yes,Yes,CA0073,18-19
MONTEREY PARK BRUGGEMEYER LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,318 S. RAMONA AVENUE,MONTEREY PARK,91754,3399,6263071269,(626) 307-1368,www.montereypark.ca.gov/Library,8,"61,828","42,075","6,607",1,0,0,1,"52,880","$2,567,472 ","$43,064 ","$54,742 ","$15,674 ","$2,680,952 ","$35,564 ",$0 ,$0 ,$0 ,"$15,000 ","$15,000 ","$1,447,609 ","$797,285 ","$2,244,894 ","$72,488 ","$6,405 ","$78,893 ","$6,599 ","$2,574 ","$88,066 ","$393,020 ","$2,725,980 ","$15,000 ",42,6.5,7.5,17.19,24.69,3.4,"50,481","3,771","124,072","13,414","4,476","4,557","6,098",262,4,4,8,103,"2,083","273,545","12,880","187,397","148,998","20,307","4,392","4,130","8,522","191,789","195,919",16,7,376,"26,295",71,"1,721",714,"13,341",93,"1,922","1,161","41,357",Yes,"69,380","63,669","21,884",61,Yes,Yes,No,Yes,Yes,CA0075,18-19
MONTEREY PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,625 PACIFIC ST.,MONTEREY,93940,2866,8316465669,(831) 646-3933,https://www.monterey.org/library,8,"28,448","31,281","5,899",1,0,1,2,"24,285","$3,092,706 ","$6,000 ",$0 ,"$156,869 ","$3,255,575 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,607,962 ","$711,055 ","$2,319,017 ","$98,937 ","$4,659 ","$103,596 ","$44,146 ","$22,650 ","$170,392 ","$719,322 ","$3,208,731 ","$11,488 ",43,8.82,9.02,14.79,23.81,1.74,"27,833","3,849","91,927","348,366","5,086","80,851","8,863","15,566",30,4,34,64,"3,132","251,771","29,620","421,386","136,745","3,381","37,884","11,503","49,387","459,270","470,773","54,861","77,929",313,"12,624",135,"1,967",159,"2,557",133,"4,707",607,"17,148",No,"28,187","123,281","47,175",28,Yes,Yes,Don't know,Yes,Yes,CA0074,18-19
MOORPARK CITY LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,699 MOORPARK AVENUE,MOORPARK,93021,1115,8055176370,(805) 517-6370,http://www.moorparklibrary.org,12,"37,020","12,500","1,738",1,0,0,1,"7,700","$1,052,500 ",$0 ,$0 ,$0 ,"$1,052,500 ",$0 ,"$88,692 ",$0 ,$0 ,$0 ,"$88,692 ","$275,178 ","$97,984 ","$373,162 ","$36,466 ","$2,894 ","$39,360 ","$14,996 ","$11,118 ","$65,474 ","$613,864 ","$1,052,500 ",$0 ,9,3,3,4.5,7.5,0.06,"17,458","4,748","39,395",931,"2,113",161,"5,915","22,786",2,2,4,49,"2,984","76,134",,"97,844","49,383","1,752","2,884",,"2,884","100,728","100,728","11,603","5,945",229,"8,516",225,"1,451",54,"1,170",23,"3,863",508,"11,137",No,"8,836","22,474",,16,Yes,Yes,Yes,Yes,Yes,CA0208,18-19
MORENO VALLEY PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,25480 ALESSANDRO BLVD,MORENO VALLEY,92553,4368,9514133880,(951) 413-3897,http://www.moval.org/mv-library,50,"208,297","74,527","23,865",1,1,0,2,"21,000","$2,226,782 ","$61,569 ",,,"$2,288,351 ",$0 ,,,,,,"$45,632 ","$29,519 ","$75,151 ","$144,879 ","$2,603 ","$147,482 ","$47,615 ","$62,968 ","$258,065 ","$2,014,824 ","$2,348,040 ","$22,416 ",27,2,2,17.4,19.4,2,"25,242","5,807","52,321","107,699","1,760",0,"10,364",0,9,1,10,15,"5,554","269,239","50,801","260,940","142,763","16,584",504,"1,976","2,480","261,444","263,420","14,435","13,340",431,"11,664",59,647,209,"1,926",79,"2,043",699,"14,237",Yes,"44,734",,"102,511",39,Yes,Yes,Yes,Yes,Yes,CA0200,18-19
MOUNTAIN VIEW PUBLIC LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,585 FRANKLIN ST.,MOUNTAIN VIEW,94041,1998,6509036335,(650) 903-6337,http://library.mountainview.gov,12,"81,992","83,964","5,775",1,0,1,2,"59,997","$5,614,227 ",$0 ,$0 ,"$202,851 ","$5,817,078 ",$0 ,"$99,353 ",$0 ,$0 ,$0 ,"$99,353 ","$3,135,044 ","$1,498,473 ","$4,633,517 ","$318,246 ","$16,076 ","$334,322 ","$170,581 ","$105,046 ","$609,949 ","$393,008 ","$5,636,474 ","$40,637 ",65.75,22.25,22.25,32.5,54.75,1.25,"103,655","12,798","244,992","325,993","26,920","290,557","25,123","15,394",47,4,51,196,"3,717","588,081","50,422","1,141,242","627,189","39,482","108,330","45,100","153,430","1,249,572","1,294,672","16,459","12,743",262,"27,795",168,"4,504",410,"9,934",58,"6,852",840,"42,233",No,"43,142","451,885",,33,Yes,Yes,No,Yes,Yes,CA0076,18-19
MURRIETA PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,8 TOWN SQUARE,MURRIETA,92562,9172,9513042665,(951) 304-2665,http://www.murrietalibrary.info,28,"118,125","35,425","9,509",1,0,0,1,"25,000","$2,158,971 ","$6,551 ",$0 ,"$103,146 ","$2,268,668 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$963,213 ","$446,213 ","$1,409,426 ","$75,688 ","$3,750 ","$79,438 ","$10,697 ","$10,708 ","$100,843 ","$727,905 ","$2,238,174 ","$78,840 ",26,5,5,13.5,18.5,1,"30,637","3,842","75,043","108,422","5,567","7,499","11,457",0,39,3,42,85,"2,303","280,642","45,374","452,164","267,374","2,569",,,,"452,164","452,164","48,522","38,273",295,"14,594",41,664,95,"1,243",6,,431,"16,501",Yes,"24,476",,,44,Yes,Yes,No,Yes,Yes,CA0202,18-19
NAPA COUNTY LIBRARY,Napa,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,NorthNet Library System,580 COOMBS ST.,NAPA,94559,3396,7072534241,(707) 253-4235,http://www.countyofnapa.org,787,"134,646","44,151","24,549",1,3,0,4,"47,110","$9,545,787 ","$450,928 ","$1,593 ","$760,774 ","$10,759,082 ","$124,519 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,647,672 ","$1,589,811 ","$5,237,483 ","$369,636 ","$28,299 ","$397,935 ","$184,433 ","$140,312 ","$722,680 ","$1,613,969 ","$7,574,132 ",$0 ,92,12.5,12.5,36.3,48.8,5.54,"50,197","5,838","128,423","357,840","11,494","340,704","20,058","15,872",34,3,37,289,"8,216","490,777","41,339","1,022,093","434,345","57,878","101,179","1,347","102,526","1,123,272","1,124,619","13,789","18,925","1,034","24,426",91,678,403,"6,707",0,0,"1,528","31,811",No,"77,642","211,734","60,122",111,Yes,Yes,Yes,Yes,Yes,CA0077,18-19
NATIONAL CITY PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1401 NATIONAL CITY BLVD.,NATIONAL CITY,91950,3314,6194705800,(619) 470-5830,http://www.nationalcityca.gov/government/library,9,"62,307","31,061","5,039",1,0,0,1,"49,508","$2,005,069 ","$46,974 ","$52,000 ","$65,731 ","$2,169,774 ","$46,974 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$810,135 ","$273,084 ","$1,083,219 ","$119,620 ","$6,000 ","$125,620 ","$56,298 ","$2,567 ","$184,485 ","$911,788 ","$2,179,492 ",$0 ,37,4.85,5.45,14.75,20.2,1.85,"80,870","7,354","206,210","82,940","5,154","2,744","24,135",0,41,3,44,109,"2,500","172,611","76,531","100,253","36,666","6,870","3,341","7,632","10,973","103,594","111,226",0,0,258,"6,362",39,581,"1,271","8,657",47,306,"1,568","15,600",Yes,"58,940","96,948","18,205",123,Yes,No,No,Yes,Yes,CA0078,18-19
NEVADA COUNTY LIBRARY,Nevada,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,980 HELLING WAY,NEVADA CITY,95959,8619,5302651407,(530) 265-7050,http://mynevadacounty.com/library,978,"98,904","44,374","9,634",1,5,0,6,"37,388","$4,869,142 ","$54,800 ","$14,500 ","$137,994 ","$5,076,436 ","$54,998 ","$142,472 ","$41,649 ",$0 ,$0 ,"$184,121 ","$1,387,133 ","$957,020 ","$2,344,153 ","$170,406 ","$13,574 ","$183,980 ","$39,357 ",$0 ,"$223,337 ","$1,483,024 ","$4,050,514 ","$160,306 ",33.5,8,8,25.5,33.5,2.64,"47,705","7,577","123,981","85,000","8,017","21,000","14,076","9,500",8,4,12,172,"9,435","334,495",,"739,509","235,060","4,112","81,414","2,178","83,592","820,923","823,101",112,323,925,"12,058",119,939,573,"3,691",86,"4,029","1,617","16,688",Yes,,,,91,Yes,Yes,Yes,Yes,Yes,CA0079,18-19
NEWPORT BEACH PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,1000 AVOCADO AVE.,NEWPORT BEACH,92660,7915,9497173800,(949) 717-3860,http://www.newportbeachlibrary.org,51,"87,180","100,678","7,207",1,2,0,3,"96,100","$9,021,784 ","$41,666 ",$0 ,"$471,987 ","$9,535,437 ","$41,666 ","$1,033,969 ",$0 ,$0 ,"$136,378 ","$1,170,347 ","$3,470,533 ","$2,373,624 ","$5,844,157 ","$435,047 ","$33,024 ","$468,071 ","$395,278 ","$122,055 ","$985,404 ","$2,115,159 ","$8,944,720 ","$1,054,782 ",74,16,16,42.83,58.83,4.75,"83,710","6,634","230,483","23,586","21,727","9,186","33,887","34,397",42,3,45,401,"10,100","935,953","162,357","1,213,970","550,263","19,187","162,071","778,448","940,519","1,376,041","2,154,489",458,139,905,"48,234",40,770,435,"23,365",18,"4,128","1,380","72,369",Yes,"80,442","579,855","231,765",109,Yes,Yes,No,Yes,Yes,CA0080,18-19
