Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,# of Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded,Electronic Collections State Funded (no more than 6),# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge late fines?,Charge per day for Adults,For Young Adults,For Children,Do you lend laptops?,Do you lend hot spots?,Circulation of Childrens Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,Circulation of Other Physical Items,Physical Item Circulation,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Total Program Attendance,# of Children's Programs (calculated),Children's Program Attendance,# of Pre School Programs,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Pre-School Program Attendance,Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of School Aged Programs,# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",School Aged Program Attendance,Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs,# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance,Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs,# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance,Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of Programs for all ages,# of Programs for all ages (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance,General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Website visits,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,# of self-directed activities,# of participants,Describe activities,FSCS ID,Fiscal Year
BANNING LIBRARY DISTRICT,Riverside,Special District Library,School District (most nearly),Member of a Federation or Cooperative,School District,Inland Library System,21 W. NICOLET ST.,BANNING,92220,4607,(951) 849-3192,(951) 849-3192,http://www.banninglibrarydistrict.org/,306,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"34,905","21,114","5,278",1,0,0,1,"9,583","$1,080,647 ",$0 ,$0 ,"$115,908 ","$1,196,555 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$425,302 ","$84,829 ","$510,131 ","$21,897 ","$1,798 ","$23,695 ","$17,725 ","$8,636 ","$50,056 ","$86,299 ","$646,486 ","$311,661 ",11,1,1,5,6,0,"15,491","2,577","57,777","1,799","3,662",150,"63,388",70,"789,550","431,535","21,732",10,6,16,"1,768","5,982",Annual Count,"6,274",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,No,"3,524",277,0,2,0,"9,589","5,802","7,438",,"13,240","22,829",No,135,837,35,214,0,0,,,0,0,,,35,35,,,214,214,,,11,11,,,103,103,,,4,4,,,39,39,,,85,85,,,481,481,,,34,428,26,203,187,Yes,530,Annual Count,"15,514","13,737",Annual Estimate Based on Typical Week(s),11,13,238,"Take home kits with educational material. I.E. Nutrition information, STEM activities, physical exercise, and kid friendly books with information on pandemics.",CA0167,20-21
BEAUMONT LIBRARY DISTRICT,Riverside,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Inland Library System,125 E. EIGHTH ST.,BEAUMONT,92223,2194,(951) 845-1357,(951) 845-1357,http://bld.lib.ca.us,60,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"60,653","22,785","2,743",1,0,1,2,"11,697","$1,686,023 ","$214,365 ",$0 ,"$11,177 ","$1,911,565 ","$150,000 ",$0 ,$0 ,"$12,037 ","$162,037 ","$785,189 ","$298,694 ","$1,083,883 ","$78,417 ","$1,572 ","$79,989 ","$26,251 ","$18,860 ","$125,100 ","$219,626 ","$1,428,609 ","$18,362 ",20,6.25,7.25,4.75,12,1.25,"16,312","2,630","59,023",393,"6,650",46,"66,112",4,"445,161","386,868","49,294",4,5,9,"2,008","14,457",Annual Count,"9,560",Annual Count,Yes,$0.25 ,$0.25 ,$0.10 ,Yes,Yes,"29,355","1,268",0,0,131,"71,288","9,751","11,010","81,039","20,761","92,049",Yes,124,"3,324",67,"2,192",,48,42,6,,"1,907","1,741",166,,19,9,10,,285,165,120,,22,15,7,,155,107,48,,28,1,27,,189,50,139,,7,7,0,,788,788,0,28,864,10,234,-1,Yes,872,Annual Count,"25,099",-1,Annual Count,8,44,"1,698","A variety of art, craft, etc. grab 'n' go bags for kids plus make 'n' take art projects for adults. ",CA0168,20-21
BELVEDERE-TIBURON LIBRARY,Marin,Joint Powers Authority,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1501 TIBURON BLVD,TIBURON,94920,2530,(415) 789-2665,(415) 789-2661,https://beltiblibrary.org,4,Yes,Yes,Yes,Yes,Yes,No,No,No,"11,522","7,289",727,1,0,0,1,"10,500","$2,887,561 ",$0 ,$0 ,"$72,000 ","$2,959,561 ",$0 ,$0 ,$0 ,"$6,665,000 ","$6,665,000 ","$1,399,063 ","$479,568 ","$1,878,631 ","$85,338 ","$16,136 ","$101,474 ","$48,398 ","$22,922 ","$172,794 ","$469,575 ","$2,521,000 ","$7,348,455 ",16,8.5,8.5,6.5,15,1,"16,621","2,889","42,330","5,814","4,399",31,"52,574","1,991","864,390","439,690","76,554",20,4,24,0,0,Annual Count,"5,907",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,"46,483","3,281","50,382","25,978",118,"118,027","48,589","22,912",,"71,501","189,528",Yes,48,403,14,154,,3,0,3,,28,0,28,,11,0,11,,126,0,126,,18,0,18,,149,0,149,,16,4,12,,100,17,83,,0,0,0,,0,0,0,4,17,123,"2,695",-1,No,0,Annual Count,"100,006","21,427",Annual Count,23,956,956,Craft kits for children and teens,CA0197,20-21
BENICIA PUBLIC LIBRARY,Solano,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,150 E. L ST.,BENICIA,94510,3281,(707) 746-4343,(707) 746-4343,https://www.benicialibrary.org,13,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"27,111","17,942","2,441",1,0,0,1,"31,700","$2,356,294 ","$25,590 ",$0 ,"$139,598 ","$2,521,482 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,209,602 ","$564,083 ","$1,773,685 ","$76,202 ","$4,874 ","$81,076 ","$51,450 ","$41,928 ","$174,454 ","$397,527 ","$2,345,666 ","$1,103 ",55,6.42,6.42,12.24,18.66,0.21,"36,601","4,853","88,029","7,894","7,571","1,792","105,286",144,"180,108","20,804",344,21,6,27,310,"3,444",Annual Count,"8,208",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,"39,187",965,"39,563","39,013","23,005","106,155","47,706","17,841",,"65,547","171,702",Yes,311,"4,792",85,"2,197",,55,0,55,,"1,725",0,"1,725",,30,0,30,,472,0,472,,58,2,56,,710,11,699,,168,0,168,,"1,885",0,"1,885",,0,0,0,,0,0,0,0,0,448,"39,576",13,No,70,Annual Count,"145,428","19,894",Annual Count,16,"1,167",375,"The disparity between 7.45 and 7.46 is due to the monthly craft kits we distributed, because some children received these each month. We also did an online escape room, self-directed Summer Reading Program activities for children and teens, and the 1,000 Books Before Kindergarten program.",CA0163,20-21
BERKELEY PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,2090 KITTREDGE STREET,BERKELEY,94704,1427,(510) 981-6195,(510) 981-6148,http://www.berkeleypubliclibrary.org/,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"116,761","144,041","19,381",1,4,0,5,"137,665","$20,596,293 ","$56,568 ",$0 ,"$276,775 ","$20,929,636 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$7,783,136 ","$5,134,883 ","$12,918,019 ","$707,695 ","$29,390 ","$737,085 ","$1,146,502 ","$51,105 ","$1,934,692 ","$5,484,973 ","$20,337,684 ","$2,681,861 ",154,36.3,36.3,79.75,116.05,0,"145,440","15,497","411,697","36,382","37,437","5,672","491,188",,"739,149","426,013","48,335",24,3,27,288,"20,471",Annual Estimate Based on Typical Week(s),"10,000",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,"427,643","5,687","8,318","19,301","26,182","937,938","935,152","264,074",,"1,199,226","2,137,164",Yes,294,"6,041",47,"1,822",,9,5,4,,276,167,109,,38,0,38,,"1,546",0,"1,546",,17,0,17,,201,0,201,,230,0,230,,"4,018",0,"4,018",,,,,,,,,5,167,64,"27,544",0,No,"1,950",Annual Estimate Based on Typical Week(s),"860,000","112,113",Annual Count,88,21,"2,245",6 different Take it and Make it craft kits. 15 LEGO Social Media Challenges.,CA0011,20-21
BEVERLY HILLS PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,444 N. REXFORD DR.,BEVERLY HILLS,90210,4877,(310) 288-2220,(310) 288-2244,http://www.bhpl.org,6,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"33,399","50,378","6,214",1,1,0,2,"72,700","$11,530,935 ","$25,916 ",$0 ,"$13,828 ","$11,570,679 ","$421,892 ",$0 ,$0 ,$0 ,"$421,892 ","$3,680,890 ","$1,805,093 ","$5,485,983 ","$170,496 ","$32,775 ","$203,271 ","$327,836 ","$33,498 ","$564,605 ","$5,520,091 ","$11,570,679 ","$164,951 ",98,12.04,12.04,35.05,47.09,0.04,"53,078","2,086","163,251","20,075","10,947",0,"194,273",153,"665,507","417,057","76,844",54,3,57,560,"7,071",Annual Count,"14,819",Annual Count,Yes,$0.25 ,$0.00 ,$0.00 ,Yes,Yes,"21,077",219,239,11,0,"42,854","46,113",-1,,"46,113","88,967",Yes,50,"1,095",9,195,,6,6,,,120,120,,,3,,3,,75,,75,,4,0,4,,10,0,10,,37,0,37,,890,0,890,,0,0,0,,0,0,0,0,0,70,"6,126",-1,Yes,465,Annual Count,"158,925",-1,,60,12,200,coloring sheets and social media challenges,CA0012,20-21
BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,Ventura,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,Black Gold Cooperative Library System,119 N. EIGHTH ST.,SANTA PAULA,93060,2709,(805) 525-3615,(805) 525-3615,http://www.blanchardlibrary.org,108,Yes,No,Yes,No,Yes,No,Yes,No,"30,691","9,125","1,974",1,0,0,1,"22,554","$891,223 ","$70,026 ",$0 ,"$83,725 ","$1,044,974 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$468,921 ","$164,394 ","$633,315 ","$32,277 ","$2,025 ","$34,302 ","$12,723 ","$4,322 ","$51,347 ","$283,108 ","$967,770 ",$0 ,16,1,2,6.8,8.8,0,"22,328","2,665","60,904",799,"3,280",34,"65,017",55,"238,651","128,574","34,301",2,3,5,"1,296",-1,Annual Count,-1,Annual Count,No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,"11,568",846,"1,044",115,445,"23,481","12,387",-1,,"12,387","35,868",Yes,26,393,23,380,,0,0,0,,0,0,0,,23,18,5,,380,350,30,,0,0,0,,0,0,0,,3,0,3,,13,12,1,,0,0,0,,0,0,0,0,0,19,"6,941",0,Yes,218,Annual Count,-1,-1,,33,11,"1,567","Take-home activity bags for kids, escape room solved by completing puzzles.",CA0131,20-21
BRAWLEY PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,400 MAIN ST.,BRAWLEY,92227,2491,(760) 344-1891,(760) 344-1891,brawley-ca.gov/section/Library,5,Yes,No,Yes,Yes,Yes,No,Yes,Yes,"27,326","5,659","1,931",1,1,0,2,"9,250","$370,120 ","$33,000 ",$0 ,$0 ,"$403,120 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$129,947 ","$34,509 ","$164,456 ","$20,457 ",$0 ,"$20,457 ",$0 ,$0 ,"$20,457 ","$80,109 ","$265,022 ",$0 ,8,1,1,5,6,0,"16,425","2,119","43,810","2,563",365,231,"46,969",,0,0,0,1,0,1,0,-1,Annual Estimate Based on Typical Week(s),-1,Annual Estimate Based on Typical Week(s),Yes,$0.15 ,$0.15 ,$0.15 ,No,No,212,40,0,0,-1,-1,-1,-1,,,,No,1,1,0,0,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,1,1,,,1,1,,,0,0,,,0,0,,,0,0,0,0,0,Yes,0,Annual Count,0,0,Annual Count,17,0,0,Unavailable,CA0013,20-21
BUENA PARK LIBRARY DISTRICT,Orange,Special District Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,Library District,Santiago,7150 LA PALMA AVE.,BUENA PARK,90620,2547,(714) 826-4100,(714) 826-4100,http://www.buenaparklibrary.org/,12,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"81,626","25,684","5,431",1,0,0,1,"45,750","$2,155,877 ",$0 ,"$5,103 ","$1,556,859 ","$3,717,839 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,658,875 ","$788,326 ","$2,447,201 ","$85,501 ","$4,524 ","$90,025 ","$107,780 ","$25,113 ","$222,918 ","$528,502 ","$3,198,621 ","$168,263 ",38,6,6,21,27,0,"39,051","4,860","95,281","6,689","8,594",48,"110,612",50,"729,346","419,352","21,472",16,5,21,"1,481","40,650",Annual Count,"16,161",Annual Count,No,,,,No,Yes,"83,234","10,101",0,2,244,"127,673","33,305","53,884",,"87,189","214,862",Yes,80,"2,818",31,"2,139",,,,,,,,,,,,,,,,,,5,0,5,,12,0,12,,39,3,36,,629,333,296,,5,0,5,,38,0,38,11,"1,969",280,"17,678",0,No,"5,152",Annual Count,"119,683","8,558",Annual Count,9,92,"7,773","craft kits, self care kits, gardening kits, social media challenges, reading challenges",CA0014,20-21
BURBANK PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,110 N. GLENOAKS BLVD.,BURBANK,91502,1203,(818) 238-5551,(818) 238-5580,http://www.BurbankLibrary.org,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"103,969","54,725","18,657",1,2,0,3,"79,190","$7,934,819 ","$34,012 ",$0 ,"$44,126 ","$8,012,957 ",$0 ,$0 ,"$24,243 ",$0 ,"$24,243 ","$3,733,019 ","$1,588,782 ","$5,321,801 ","$155,526 ","$14,601 ","$170,127 ","$171,822 ","$43,738 ","$385,687 ","$1,190,708 ","$6,898,196 ","$24,243 ",91,24.57,24.57,39.7,64.27,0.53,"122,172","17,960","312,012","23,868","44,268",250,"380,398",206,"498,893","418,868","335,983",18,6,24,"1,634","58,830",Annual Count,"29,492",Annual Estimate Based on Typical Week(s),Yes,$0.30 ,$0.30 ,$0.15 ,No,No,"142,282","1,921",31,24,281,"283,563","86,906","101,503",,"188,409","471,972",No,353,"17,994",113,"16,217",73,73,,,"8,026","8,026",,,40,40,,,"8,191","8,191",,,46,46,,,372,372,,,194,194,,,"1,405","1,405",,,0,0,,,0,0,,,1,375,54,-1,-1,No,"6,562",Annual Count,"290,298",447,Annual Count,85,2,529,1) Social media challenge for National Library Week 2) COVID memory journals,CA0015,20-21
BURLINGAME PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,480 PRIMROSE RD.,BURLINGAME,94010,4083,(650) 558-7400,(650) 558-7400,http://www.burlingame.org/library,6,Yes,Yes,Yes,Yes,Yes,No,No,No,"37,340","27,462","6,459",1,1,0,2,"50,000","$5,129,220 ",$0 ,$0 ,"$88,892 ","$5,218,112 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,228,830 ","$1,223,487 ","$3,452,317 ","$204,758 ","$16,554 ","$221,312 ","$121,269 ","$29,058 ","$371,639 ","$1,394,156 ","$5,218,112 ","$39,245 ",57,12.58,12.58,15.93,28.51,2.01,"58,228","6,093","195,398","9,500","13,028",530,"218,456",265,"182,469","26,287","38,373",41,2,43,56,"5,395",Annual Count,"3,821",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,"190,768","8,247","107,707","53,196","1,030","325,573","88,177","12,450",,"100,627","426,200",Yes,357,"5,747",122,"3,742",,86,0,86,,"2,899",0,"2,899",,36,0,36,,843,0,843,,45,0,45,,467,0,467,,190,0,190,,"1,538",0,"1,538",,0,0,0,,0,0,0,0,0,137,"8,967","3,721",No,328,Annual Count,"113,085","216,897",Annual Count,74,25,"3,815","STEAM bag program (10) 545 attendance Book Bundles - 1,527 Halloween book giveaway - 322 Love Your Library Giveaway (4) 424 attendance Garden and Grow Kits 174 Story Walks 6 Summer Learning Challenge - 354 Poetry Month 467",CA0016,20-21
BUTTE COUNTY LIBRARY,Butte,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1820 MITCHELL AVENUE,OROVILLE,95966,5387,(530) 552-5652,(530) 552-5652,http://www.buttecounty.net/bclibrary,"1,675.00",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"202,669","98,731","11,476",0,6,0,6,"90,211","$3,480,108 ","$148,325 ","$80,093 ","$41,568 ","$3,750,094 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,259,360 ","$617,699 ","$1,877,059 ","$103,521 ","$6,627 ","$110,148 ","$136,669 ","$89,747 ","$336,564 ","$1,288,914 ","$3,502,537 ",$0 ,27,8,8,17.5,25.5,10,"56,121","10,610","184,750","6,481","15,819",495,"207,545",126,"230,335","276,850","49,616",12,4,16,"7,708","140,368",Annual Count,185,Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,No,Yes,"115,960","2,590",108,121,44,"254,870","68,678",256,,"68,934","323,804",No,110,"3,393",59,"1,525",,,,,,,,,,,,,,,,,32,32,,,"1,639","1,639",,,19,19,,,229,229,,,,,,,,,,,5,115,181,"4,212",-1,No,"8,134",Annual Count,"147,818","10,420",Annual Count,61,71,"1,350","These were grab-n-go crafting activities for kids, teens, and adults (different kits for the different ages). They were a different theme each month. ",CA0017,20-21
CALABASAS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,200 CIVIC CENTER WAY,CALABASAS,91302,4114,(818) 225-7616,(818) 225-7616,http://www.cityofcalabasas.com/library.html,13,Yes,Yes,Yes,Yes,Yes,No,No,No,"24,341","63,246","21,167",1,0,0,1,"27,000","$1,582,698 ",$0 ,"$5,000 ","$7,983 ","$1,595,681 ","$1,028,474 ",$0 ,$0 ,$0 ,"$1,028,474 ","$672,008 ","$279,433 ","$951,441 ","$37,720 ","$6,944 ","$44,664 ","$138,823 ","$4,850 ","$188,337 ","$189,905 ","$1,329,683 ","$783,977 ",23,5,5,10,15,0,"28,911","5,970","72,515","4,355","4,318",6,"81,194",48,"12,098","10,701","30,001",29,4,33,456,"9,200",Annual Estimate Based on Typical Week(s),"3,118",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,No,No,"25,050",121,45,122,"13,280","38,573","71,383","34,371",,"105,754","144,327",Yes,214,"3,618",127,"2,616",,92,0,92,,"2,346",0,"2,346",,35,2,33,,270,160,110,,25,2,23,,96,34,62,,60,0,60,,636,0,636,,2,2,0,,270,270,0,1,120,116,"7,552","2,594",No,"1,584",Annual Count,"40,618","10,220",Annual Estimate Based on Typical Week(s),21,7,684,Fun fair craft give away; African American month art project give away; SRP bag and craft pickup; science grab N gos; Beanstack signup; Asian American craft grab n go,CA0201,20-21
CALAVERAS COUNTY LIBRARY,Calaveras,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1299 GOLD HUNTER ROAD,SAN ANDREAS,95249,9709,(209) 754-6510,(209) 754-6510,www.calaveraslibrary.com,"1,027.00",Yes,Yes,No,Yes,Yes,No,Yes,No,"45,036","27,006","5,924",1,7,0,8,"35,000","$571,489 ","$148,629 ","$34,940 ","$58,820 ","$813,878 ",$0 ,"$87,669 ",$0 ,$0 ,"$87,669 ","$388,040 ","$102,556 ","$490,596 ","$14,156 ",$625 ,"$14,781 ","$15,866 ","$15,402 ","$46,049 ","$264,870 ","$801,515 ","$87,669 ",21,1,1,10.55,11.55,3.85,"32,997","3,984","110,057","6,940","9,219",318,"126,534",9,"498,733","417,317","76,904",6,6,12,"5,994","31,354",Annual Count,"4,413",Annual Estimate Based on Typical Week(s),Yes,$0.20 ,$4.20 ,$0.00 ,No,No,"25,536",41,"2,257","1,574","1,250","74,352","12,922","4,225",,"17,147","91,499",Yes,103,542,82,348,,42,0,42,,176,0,176,,40,0,40,,172,0,172,,2,2,0,,18,18,0,,19,3,16,,176,32,144,,0,0,0,,0,0,0,98,476,2,34,0,Yes,"6,633",Annual Estimate Based on Typical Week(s),"35,009","18,510",Annual Estimate Based on Typical Week(s),35,52,"3,844",Art take-away packets monthly in the Mokelumne Hill branch. Summer Reading take-away packets for 5 age division for 8 weeks. ,CA0018,20-21
CAMARENA MEMORIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,850 ENCINAS AVE.,CALEXICO,92231,2559,(760) 768-2170,(760) 768-7480,https://calexicolibrary.org,7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"40,485","11,151","7,239",1,1,0,2,"16,560","$524,431 ","$56,359 ","$2,261 ",$0 ,"$583,051 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$257,344 ","$159,958 ","$417,302 ","$17,500 ","$1,980 ","$19,480 ","$6,013 ",$0 ,"$25,493 ","$176,400 ","$619,195 ","$17,947 ",6,1,1,3,4,0.89,"37,359","5,301","67,704",676,651,9,"69,040",37,"603,621","290,325","21,945",3,6,9,0,0,Annual Count,0,Annual Count,Yes,$0.10 ,$0.10 ,$0.05 ,No,No,"4,665","1,420",0,0,96,"15,062","6,733",375,,"7,108","22,170",Yes,361,"6,443",167,"4,085",,104,0,104,,"2,033",0,"2,033",,63,0,63,,"2,052",0,"2,052",,20,0,20,,67,0,67,,170,0,170,,"2,251",0,"2,251",,4,0,4,,40,0,40,0,0,0,0,0,No,0,Annual Count,-1,-1,,42,14,308,These activities included arts & crafts activities included in Lunch at the Library literacy packets that children could complete at home and Vintage Club monthly packets provided to adult 55 which included different activities to complete at home,CA0019,20-21
CAMARILLO PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,4101 LAS POSAS RD,CAMARILLO,93010,3799,(805) 388-5222,(805) 388-5811,http://camarillolibrary.org,19,Yes,Yes,Yes,Yes,Yes,No,No,No,"69,708","95,784","12,442",1,0,0,1,"65,621","$3,896 ","$25,150 ",$0 ,"$282,892 ","$311,938 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$56,642 ","$38,265 ","$94,907 ","$183,606 ","$6,708 ","$190,314 ","$192,123 ",$0 ,"$382,437 ","$3,114,347 ","$3,591,691 ","$83,062 ",36,6,6,19.73,25.73,0.07,"82,680","12,265","185,024","9,591","19,002",258,"213,875",104,"501,630","144,034","76,335",21,1,22,376,"23,448",Annual Count,"15,299",Annual Count,Yes,$0.20 ,$0.20 ,$0.20 ,No,No,"105,241","1,545",0,0,91,"180,683","124,633","220,076","305,316","344,709","525,392",No,136,"1,935",8,"1,114",,,,,-1,,,,,,,,-1,,,,17,17,,,123,123,,,111,111,,,698,698,,,,0,0,0,,0,0,0,0,0,1,274,0,Yes,970,Annual Count,"113,291","38,500",Annual Count,122,0,0,,CA0209,20-21
CARLSBAD CITY LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1775 DOVE LANE,CARLSBAD,92011,4048,(760) 602-2011,(760) 602-2038,http://www.carlsbadlibrary.org,40,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"115,501","100,425",-1,1,2,0,3,"99,993","$12,649,441 ","$52,844 ",$0 ,$0 ,"$12,702,285 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,895,460 ","$2,084,621 ","$6,980,081 ","$303,832 ","$93,138 ","$396,970 ","$275,486 ","$77,839 ","$750,295 ","$3,484,731 ","$11,215,107 ",$0 ,180,25.78,25.78,77.49,103.27,0.53,"98,921","8,206","259,075","26,678","15,614",8,"301,375",414,"16,834","6,534",0,25,6,31,"2,183","20,214",Annual Count,"42,342",Annual Count,Yes,$0.25 ,$0.10 ,$0.10 ,No,No,"161,849","2,101",227,23,-1,"316,257","213,672","25,407",,"239,079","555,336",Yes,322,"7,277",122,"1,637",,52,0,52,,811,0,811,,70,0,70,,826,0,826,,29,0,29,,204,0,204,,172,0,172,,"5,437",0,"5,437",,-1,0,-1,,-1,0,-1,0,0,-1,-1,-1,No,"4,825",Annual Count,"450,761","43,443",Annual Count,28,-1,-1,-1,CA0020,20-21
