FiscalYear,Location,County,LibraryType,GeographicCode,InterlibraryRelationshipcode,LegalBasisCode,CLSASystemLibrary,StreetAddress,City,Zip,Zip4,LibrarysWebAddress,PopulationofTheLegalServiceArea,RegisteredUsersasofJune30,ChildrenBorrowers,NumofCentralLibraries,NumofBranchLibraries,NumofBookmobiles,NumofOutlets,LibraryVisits,HoursOpenAllOutlets,Totalpersonsemployed,NumofLibrarianFTEs,FTEAllotherpaidstaff,NumofALAMLSLibrarianFTEs,TotalOperatingIncome,LocalGovernmentIncome,StateIncome,FederalIncome,CapitalOutlayIncomefromLocalSources,CapitalOutlayIncomefromStateSources,CapitalOutlayIncomefromFederalSources,CapitalOutlayIncomefromOtherSources,TotalCapitalOutlayIncome,OtherOperatingIncome,TotalOperatingExpenditures,TotalCollectionExpenditures,PrintMaterialsExpenditures,PrintSerialSubscriptionExpenditures,ElectronicMaterialsExpenditures,OtherMaterialsExpenditures,TotalPrintMaterialsExpenditures,SalaryWagesExpenditures,EmployeeBenefitsExpenditures,TotalStaffExpenditures,TotalCapitalExpenditures,AllOtherOperatingExpenditures,BooksChildrenHeld,BooksYoungAdultHeld,NumofPhysicalAudioMaterials,NumofPhysicalVideoMaterials,NumofCurrentSerialSubscriptions,NumofElectronicBooks,NumofElectronicCollections,TotalPrintMaterialsHeld,NumofDownloadableAudioMaterials,NumofDownloadableVideoMaterials,CirculationofNonEnglishMaterials,CirculationofElectronicMaterials,ILLloanstoothers,ILLloansreceived,ReferenceQuestions,NumofPrograms,NumofYoungAdultPrograms,YoungAdultProgramAttendance,ChildrensProgramAttendance,TotalProgramAttendance,NumofAdultPrograms,AdultProgramAttendance,CIPACompliant,AnnualUsesofPublicInternetComputers,NumofInternetTerminals,Websitevisits,FSCSID,NumofChildrensPrograms
16-17,BURBANK PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,110 N. GLENOAKS BLVD.,BURBANK,91502,1203,http://www.BurbankLibrary.com,"105,033","116,421","10,490",1,2,0,3,"830,525","7,770",94,25.25,39.3,25.25,"$6,605,343 ","$6,440,433 ","$29,690 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$135,220 ","$6,336,829 ","$498,346 ","$269,308 ","$20,508 ","$121,754 ","$86,776 ","$289,816 ","$3,447,756 ","$1,382,446 ","$4,830,202 ","$17,413 ","$1,008,281 ","142,577","25,407","26,715","44,958",397,"3,628",20,"423,707",890,0,"20,122","16,504",289,81,"110,240","1,075",73,"1,714","27,170","36,528",246,"7,644",No,"210,400",89,"610,018",CA0015,378
16-17,BURLINGAME PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,480 PRIMROSE RD.,BURLINGAME,94010,4083,http://www.burlingame.org/library,"37,983","27,237","7,540",1,1,0,2,"360,182","4,784",72,12.09,21.29,12.09,"$4,854,358 ","$4,710,029 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$144,329 ","$4,854,358 ","$395,743 ","$232,646 ","$20,189 ","$95,973 ","$46,935 ","$252,835 ","$2,261,520 ","$1,126,245 ","$3,387,765 ",$0 ,"$1,070,850 ","56,753","7,302","10,604","13,064",286,"68,482",31,"195,056","6,385",0,"7,853","36,121","80,583","52,784","58,732","2,021",160,"4,128","39,404","48,128",369,"4,596",No,"40,270",71,"89,126",CA0016,746
16-17,BUTTE COUNTY LIBRARY,Butte,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1820 MITCHELL AVENUE,OROVILLE,95966,5387,http://www.buttecounty.net/bclibrary,"226,404","121,164","12,318",0,4,0,6,"617,098","10,865",29,7.5,21.5,7.5,"$3,796,259 ","$3,559,100 ","$58,793 ","$63,719 ","$198,650 ",$0 ,"$26,345 ",$0 ,"$224,995 ","$114,647 ","$3,942,468 ","$99,155 ","$29,400 ","$11,626 ","$43,155 ","$14,974 ","$41,026 ","$1,367,438 ","$559,338 ","$1,926,776 ","$224,995 ","$1,916,537 ","63,857","9,792","8,577","14,019",193,"103,552",16,"193,648","8,395",0,"9,299","33,099",345,253,"32,906","3,453",109,656,"23,760","35,951",864,"11,535",No,"69,262",63,"239,609",CA0017,"1,240"
16-17,CALABASAS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,200 CIVIC CENTER WAY,CALABASAS,91302,4114,http://www.cityofcalabasas.com/library.html,"24,202","45,196","6,247",1,0,0,1,"155,593","2,182",23,4,10,4,"$1,880,716 ","$1,852,418 ",$0 ,$0 ,"$471,500 ",$0 ,$0 ,$0 ,"$471,500 ","$28,298 ","$1,811,083 ","$165,847 ","$39,500 ","$6,375 ","$106,672 ","$13,300 ","$45,875 ","$808,170 ","$173,828 ","$981,998 ","$471,281 ","$663,238 ","26,404","5,098","4,013","4,079",71,"4,686",20,"66,843","7,585","7,000",790,"9,893",41,122,"26,864",666,115,"1,660","8,870","12,040",87,"1,510",No,"12,000",22,"84,669",CA0201,232
16-17,CALAVERAS COUNTY LIBRARY,Calaveras,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1299 GOLD HUNTER ROAD,SAN ANDREAS,95249,9709,www.calaverascountylibrary.com,"45,168","23,295","4,934",1,7,0,8,"60,420","10,036",21,1,8.45,1,"$509,102 ","$417,916 ","$29,223 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$61,963 ","$484,881 ","$17,542 ","$9,416 ",$789 ,"$6,000 ","$1,337 ","$10,205 ","$293,639 ","$50,529 ","$344,168 ",$0 ,"$123,171 ","43,143","3,813","7,593","10,439",6,"4,264",0,"137,855","3,822",0,152,"3,997",142,183,"10,959",512,4,59,"3,724","4,548",54,765,No,"23,283",37,"35,616",CA0018,227
16-17,CAMARENA MEMORIAL PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,850 ENCINAS AVE.,CALEXICO,92231,2559,https://calexicolibrary.org,"40,921","11,903","5,057",1,0,0,2,"94,717","3,177",5,3,2,2,"$712,780 ","$671,516 ","$26,836 ","$10,056 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,372 ","$671,516 ","$28,120 ","$18,722 ","$2,923 ","$6,475 ",$0 ,"$21,645 ","$213,428 ","$195,168 ","$408,596 ",$0 ,"$234,800 ","40,728","5,087",605,746,52,"3,494",8,"67,344",449,0,"8,332",,0,1,"33,290",979,17,123,"17,150","19,665",138,"2,392",No,"8,315",42,,CA0019,412
16-17,CAMARILLO PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,4101 LAS POSAS RD,CAMARILLO,93010,2539,http://camarillolibrary.org,"69,623","79,204","11,520",1,0,0,1,"420,813","3,289",40,5.8,21.23,5.8,"$4,543,921 ","$4,187,831 ","$28,400 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$327,690 ","$4,263,089 ","$304,707 ","$112,309 ","$5,195 ","$187,203 ",$0 ,"$117,504 ","$80,993 ","$47,252 ","$128,245 ","$161,237 ","$3,830,137 ","88,690","14,958","13,785","24,428",167,"15,812",16,"195,547","1,903",0,"7,878","51,025",0,8,"37,242","1,244",45,601,"22,459","33,959",425,"10,899",Yes,"49,776",122,"171,109",CA0209,387
16-17,CARLSBAD CITY LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1775 DOVE LANE,CARLSBAD,92011,4048,http://www.carlsbadlibrary.org,"113,725","105,929",-1,1,2,0,3,"720,205","9,776",195,25.5,76.78,25.5,"$12,554,252 ","$12,503,272 ","$50,980 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$12,169,635 ","$858,950 ","$336,784 ","$110,694 ","$292,685 ","$118,787 ","$447,478 ","$5,035,340 ","$1,779,289 ","$6,814,629 ",$0 ,"$4,496,056 ","102,467","7,511","35,579","19,132",371,"6,505",29,"243,799","3,818",0,"11,353","82,245",225,67,"254,437","3,075",97,"1,703","44,631","65,398",772,"19,064",No,"89,365",86,-1,CA0020,"1,103"
16-17,CERRITOS PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,18025 BLOOMFIELD AVE.,CERRITOS,90703,8525,http://www.cerritos.us/library,"50,039","24,494","5,411",1,0,0,1,"2,645,395","3,365",90,6,37,0,"$5,323,290 ","$5,323,290 ",$0 ,$0 ,"$25,000 ",$0 ,$0 ,$0 ,"$25,000 ",$0 ,"$5,336,520 ","$465,380 ","$291,500 ","$25,000 ","$117,880 ","$31,000 ","$316,500 ","$2,785,830 ","$1,731,430 ","$4,517,260 ","$25,000 ","$353,880 ","98,694","9,575","7,502","11,220",287,"6,307",29,"244,833","1,052",359,"19,589","16,796",718,205,"73,333",937,32,581,"15,735","18,298",43,"1,982",No,"222,865",155,"304,890",CA0022,431
16-17,CHULA VISTA PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,365 F ST.,CHULA VISTA,91910,2697,http://www.chulavistalibrary.com,"267,917","110,840","16,203",1,2,0,3,"1,635,849","8,566",89,15.33,24.9,14.33,"$3,905,976 ","$3,191,516 ","$26,953 ",$0 ,$0 ,$0 ,$0 ,"$1,009,379 ","$1,009,379 ","$687,507 ","$3,770,751 ","$176,071 ","$97,902 ","$6,669 ","$54,354 ","$17,146 ","$104,571 ","$2,323,936 ","$1,050,910 ","$3,374,846 ","$18,349 ","$219,834 ","112,881","14,121","14,119","22,031",125,"7,974",13,"271,413",675,0,"37,353","26,354",1,0,"80,964","3,209",303,"1,525","34,665","44,560",638,"8,370",Yes,"111,653",121,"325,355",CA0023,"1,134"
16-17,CITY OF COMMERCE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,5655 JILLSON ST.,COMMERCE,90040,1485,http://www.cocpl.org,"13,064","34,382","6,607",1,3,0,4,"355,797","8,944",64,8.5,34,6.5,"$3,727,062 ","$3,695,155 ","$26,157 ","$5,750 ","$66,725 ",$0 ,$0 ,$0 ,"$66,725 ",$0 ,"$3,770,886 ","$249,046 ","$169,631 ","$8,791 ","$70,624 ",$0 ,"$178,422 ","$2,486,744 ","$784,484 ","$3,271,228 ",$0 ,"$250,612 ","46,308","6,885","9,802","19,616",174,890,17,"95,517",0,0,"14,179",895,3,185,"73,005","1,135",106,"1,384","10,546","13,653",165,"1,723",Yes,"69,125",54,"95,537",CA0027,432
16-17,COALINGA-HURON LIBRARY DISTRICT,Fresno,Special District Library,School District (most nearly),Member of a Federation or Cooperative,School District,San Joaquin Valley Library System,305 N. FOURTH ST.,COALINGA,93210,2896,http://www.coalingahuronlibrary.org/,"26,963","6,975","2,242",1,1,0,2,"74,647","4,456",14,1,11,1,"$1,282,813 ","$1,190,743 ","$30,000 ","$5,000 ","$470,593 ",$0 ,$0 ,$0 ,"$470,593 ","$57,070 ","$1,018,738 ","$88,769 ","$74,064 ","$5,320 ","$3,500 ","$5,885 ","$79,384 ","$473,524 ","$242,118 ","$715,642 ","$2,000 ","$214,327 ","19,765","5,213","3,889","2,544",98,751,12,"65,088",751,12,"1,029",955,"15,575","8,153","9,850",967,48,189,"3,586","3,930",51,155,Yes,"15,162",62,,CA0024,434
16-17,COLTON PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,656 N. 9TH ST.,COLTON,92324,2807,http://www.ci.colton.ca.us/Pages/librarywelcome.htm,"53,879","51,073","7,440",1,1,0,2,"65,905","2,488",10,2,1,2,"$361,633 ","$294,432 ","$31,201 ","$36,000 ","$23,000 ",$0 ,$0 ,$0 ,"$23,000 ",$0 ,"$352,780 ","$20,977 ","$7,276 ","$3,276 ",$0 ,"$10,425 ","$10,552 ","$226,797 ","$43,033 ","$269,830 ","$23,000 ","$61,973 ","22,074","5,063","5,138","4,211",65,0,0,"73,095",0,0,"1,234",0,9,20,"1,642",231,7,525,"2,584","7,249",92,"4,140",Yes,"12,639",24,567,CA0025,66
16-17,COLUSA COUNTY FREE LIBRARY,Colusa,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,738 MARKET ST.,COLUSA,95932,2327,http://www.countyofcolusa.org/library,"22,043","5,881","1,345",1,0,0,7,"36,662","6,515",17,2,8,1,"$1,363,488 ","$1,280,038 ","$24,836 ",$864 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$57,750 ","$1,363,487 ","$55,672 ","$31,593 ","$4,864 ","$7,985 ","$11,230 ","$36,457 ","$406,819 ","$259,093 ","$665,912 ","$12,645 ","$641,903 ","30,871","4,188","1,987","3,860",84,"75,634",4,"80,299","2,617",0,"5,452",361,80,273,"2,659","1,124",20,220,"5,902","6,525",68,403,Yes,"21,112",35,"3,244",CA0026,518
16-17,CONTRA COSTA COUNTY LIBRARY,Contra Costa,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,"777 Arnold Drive, Suite 120",MARTINEZ,94533,3633,http://ccclib.org,"1,027,728","438,660","68,602",0,21,0,26,"3,235,783","54,977",237,70.5,124.1,70.5,"$31,592,003 ","$29,332,424 ","$70,116 ","$55,150 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,134,313 ","$28,193,297 ","$3,156,009 ","$2,017,640 ","$90,565 ","$315,436 ","$732,368 ","$2,108,205 ","$11,733,110 ","$6,887,945 ","$18,621,055 ","$763,359 ","$6,416,233 ","508,651","65,275","67,007","94,718","1,348","214,901",18,"1,166,459","5,603",0,"68,962","310,811","30,703","59,467",,"15,979","1,688","27,482","208,374","274,766","2,931","38,910",No,"449,902",559,"4,452,534",CA0028,"5,680"
16-17,CORONA PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,650 SOUTH MAIN ST.,CORONA,92882,3417,http://www.coronaca.gov/library,"167,759","130,276","40,698",1,0,0,1,"367,658","2,605",41,8,10.2,8,"$2,558,887 ","$2,407,681 ","$27,992 ","$42,486 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$80,728 ","$2,252,193 ","$122,143 ","$53,333 ","$3,971 ","$59,095 ","$5,744 ","$57,304 ","$1,137,449 ","$845,339 ","$1,982,788 ",$0 ,"$147,262 ","47,262","3,695","3,070","3,659",37,"52,301",25,"115,285",937,0,"10,627","39,302",0,0,"36,676","1,559",274,"3,846","27,349","34,432",101,"3,237",Yes,"47,986",50,"205,783",CA0029,592
16-17,CORONADO PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,640 ORANGE AVE.,CORONADO,92118,1526,http://www.coronado.lib.ca.us,"24,543","46,324","7,143",1,0,0,1,"317,210","3,230",39,10.25,17,8.25,"$2,779,007 ","$2,747,905 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$31,102 ","$3,014,243 ","$383,595 ","$244,066 ","$22,552 ","$67,496 ","$49,481 ","$266,618 ","$1,427,117 ","$610,200 ","$2,037,317 ","$100,000 ","$593,331 ","46,469","7,064","11,113","24,616",384,"6,409",29,"162,006",764,0,"2,361","12,899",610,134,"32,169",865,71,"1,098","18,553","24,023",174,"4,372",No,-1,17,"316,266",CA0160,310
16-17,LA COUNTY LIBRARY,Los Angeles,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Southern California Library Cooperative,7400 E. IMPERIAL HIGHWAY,DOWNEY,90241,3375,http://www.colapublib.org,"3,373,360","2,813,195","360,875",0,85,3,87,"9,844,048","201,792","1,513.00",245,"1,397.00",244,"$140,887,024 ","$136,145,884 ","$210,802 ",$0 ,$0 ,$0 ,$0 ,"$148,000 ","$148,000 ","$4,530,338 ","$130,054,236 ","$11,723,310 ","$6,345,514 ",$0 ,"$3,861,688 ","$1,516,108 ","$6,345,514 ","$54,749,569 ","$32,151,148 ","$86,900,717 ","$8,249,522 ","$31,430,209 ","2,262,888","267,255","299,344","724,169","5,576","55,934",38,"4,743,720","23,885","2,742","599,554","1,064,001",340,837,"1,700,873","40,570","2,941","30,587","479,338","579,855","5,321","69,930",Yes,"1,864,068","1,793","7,893,604",CA0062,"16,154"
16-17,COVINA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,234 N. SECOND AVE.,COVINA,91723,2198,http://www.covinaca.gov/library,"49,011","35,173","5,584",1,0,0,1,"186,821","1,850",19,1,11.32,1,"$813,376 ","$704,956 ","$30,088 ","$43,379 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$34,953 ","$742,841 ","$57,042 ","$35,983 ","$4,773 ","$9,404 ","$6,882 ","$40,756 ","$462,494 ","$101,125 ","$563,619 ",$0 ,"$122,180 ","35,793","4,469","5,278","3,882",106,0,5,"91,000",0,0,"1,668",0,96,31,"28,299",305,0,0,"4,040","4,260",13,220,Yes,"13,190",36,,CA0030,146
16-17,DALY CITY PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,111 LAKE MERCED BOULEVARD,DALY CITY,94015,1048,http://www.dalycity.org/library,"109,287","46,912","8,614",1,1,0,4,"362,693","6,254",48,7.32,14.85,7.32,"$3,334,392 ","$3,294,297 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$40,095 ","$3,368,459 ","$236,068 ","$150,280 ","$15,658 ","$41,935 ","$28,195 ","$165,938 ","$1,449,478 ","$663,420 ","$2,112,898 ",$0 ,"$1,019,493 ","73,698","8,096","12,066","15,990",265,"68,482",15,"192,258","6,385",0,"15,515","30,138","63,688","49,014","22,489","1,722",138,"2,374","17,810","20,878",82,694,No,"62,357",50,"170,334",CA0031,751
16-17,DEL NORTE COUNTY LIBRARY DISTRICT,Del Norte,Special District Library,County/Parish (exactly),Member of a Federation or Cooperative,Library District,NorthNet Library System,190 PRICE MALL,CRESCENT CITY,95531,4395,http://www.delnortecountylibrary.org,"27,124","22,200","1,085",1,0,0,1,"48,125","2,408",10,1,3,0,"$231,601 ","$184,483 ","$24,118 ","$20,000 ","$178,500 ","$7,454 ",$0 ,"$8,000 ","$193,954 ","$3,000 ","$229,002 ","$14,765 ","$10,000 ","$1,000 ","$3,765 ",$0 ,"$11,000 ","$107,260 ","$34,972 ","$142,232 ",$0 ,"$72,005 ","10,565","1,960",470,"2,383",62,0,2,"49,551","2,617",0,175,2,0,0,"3,432",432,12,120,"4,688","4,988",12,180,Yes,"9,700",18,"2,563",CA0032,204
16-17,DIXON PUBLIC LIBRARY DISTRICT,Solano,Special District Library,School District (exactly),Member of a Federation or Cooperative,School District,NorthNet Library System,230 N. FIRST ST.,DIXON,95620,3028,http://www.dixonlibrary.com,"28,336","5,712","1,398",1,0,0,1,"108,000","2,392",20,5,6,3,"$1,259,544 ","$1,229,877 ",$0 ,$0 ,"$52,562 ",$0 ,$0 ,"$5,026 ","$57,588 ","$29,667 ","$1,157,729 ","$64,850 ","$31,623 ","$7,827 ","$9,400 ","$16,000 ","$39,450 ","$492,604 ","$247,068 ","$739,672 ","$4,691 ","$353,207 ","17,395","4,198","1,969","3,070",240,"7,249",16,"45,602","47,022","14,317","1,704","1,732","18,052","13,199","10,963",381,3,104,"2,428","2,900",38,368,Yes,"7,945",14,"43,965",CA0033,170
16-17,DOWNEY CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11121 BROOKSHIRE AVE.,DOWNEY,90241,3860,http://www.downeylibrary.org,"113,832","78,655","9,230",1,0,0,1,"326,941","2,703",53,4.75,25,4.75,"$2,133,709 ","$2,020,258 ","$53,451 ","$30,000 ","$18,000 ",$0 ,"$65,000 ",$0 ,"$83,000 ","$30,000 ","$1,893,651 ","$201,282 ","$149,781 ","$7,000 ","$35,009 ","$9,492 ","$156,781 ","$882,098 ","$297,226 ","$1,179,324 ","$83,000 ","$513,045 ","50,591","4,249","2,043","5,616",130,"2,179",0,"132,000",100,0,"10,000","4,088",307,19,"38,000",610,10,270,"11,100","13,570",90,"2,200",Yes,"37,809",17,,CA0034,255
16-17,EL CENTRO PUBLIC LIBRARY,Imperial,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,1140 N. IMPERIAL AVE.,EL CENTRO,92243,2973,http://www.cityofelcentro.org/library/,"45,628","4,325",-1,1,0,0,2,"114,262","3,600",10,1,6.5,1,"$718,231 ","$718,231 ",$0 ,$0 ,"$401,000 ",$0 ,$0 ,$0 ,"$401,000 ",$0 ,"$718,231 ","$46,100 ","$31,000 ","$4,000 ","$8,100 ","$3,000 ","$35,000 ","$331,000 ","$123,850 ","$454,850 ","$401,000 ","$217,281 ","38,074",973,936,585,79,0,4,"101,595",0,0,"1,857",0,39,0,568,320,0,0,"5,694","6,055",54,361,Yes,"25,238",27,,CA0035,133
16-17,EL DORADO COUNTY LIBRARY,El Dorado,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,345 FAIR LANE,PLACERVILLE,95667,5699,http://www.eldoradolibrary.org/,"185,062","96,060","12,071",1,3,1,6,,"10,294",55,5.5,24.65,5.5,"$3,430,378 ","$2,765,593 ","$316,139 ","$23,585 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$325,061 ","$3,430,378 ","$221,170 ","$105,678 ","$20,830 ","$58,160 ","$36,502 ","$126,508 ","$1,749,818 ","$829,917 ","$2,579,735 ",$0 ,"$629,473 ","119,568","21,823","17,920","21,710",342,"76,593",6,"321,873","3,000",0,"4,365","43,969",348,196,"12,231","2,862",99,928,"31,690","37,404",213,"4,786",No,"38,977",44,,CA0036,"1,275"
16-17,EL SEGUNDO PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,111 W. MARIPOSA AVE.,EL SEGUNDO,90245,2299,http://eslib.org,"16,717","15,351","3,282",1,1,0,5,"217,934","7,830",32,6,16.25,5,"$2,363,094 ","$2,298,094 ","$35,000 ",$0 ,"$113,000 ",$0 ,$0 ,$0 ,"$113,000 ","$30,000 ","$2,462,844 ","$162,900 ","$92,950 ","$7,500 ","$49,950 ","$12,500 ","$100,450 ","$1,305,792 ","$473,252 ","$1,779,044 ","$10,000 ","$520,900 ","91,406","11,719","4,820","4,429",103,"17,060",9,"135,626","6,155",0,253,"6,651",49,125,"28,300",315,12,138,"4,049","7,019",69,"2,832",No,"16,107",83,"21,897",CA0037,117
16-17,ESCONDIDO PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,239 S. KALMIA ST.,ESCONDIDO,92025,4224,http://www.library.escondido.org,"151,492","61,026","9,089",1,0,0,1,"411,728","4,395",47,13.5,21.5,13.5,"$3,878,816 ","$3,667,595 ","$46,050 ",$0 ,"$200,000 ",$0 ,$0 ,$0 ,"$200,000 ","$165,171 ","$3,742,745 ","$280,492 ","$178,091 ","$9,994 ","$51,694 ","$40,713 ","$188,085 ","$1,779,555 ","$760,437 ","$2,539,992 ","$331,115 ","$922,261 ","38,750","6,859","7,098","21,634",180,"9,524",17,"130,965","3,559",65,"17,390","29,158",23,172,"75,096",270,48,632,"8,022","11,288",67,"2,634",Yes,"68,265",96,"189,840",CA0038,155
16-17,FOLSOM PUBLIC LIBRARY,Sacramento,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,411 STAFFORD ST,FOLSOM,95630,2643,http://library.folsom.ca.us,"78,525","30,932","6,348",1,0,0,1,"256,397","2,374",25,3,7.5,2,"$1,469,383 ","$1,356,315 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$112,068 ","$1,469,889 ","$176,010 ","$115,086 ","$3,248 ","$36,887 ","$20,789 ","$118,334 ","$837,118 ","$360,233 ","$1,197,351 ",$0 ,"$96,528 ","36,566","2,874","4,735","8,990",90,"6,940",12,"74,112","2,963",0,"5,437","17,095","67,950","75,473","14,762","1,397",40,589,"28,722","32,081",209,"2,770",Yes,"29,137",27,"97,643",CA0193,574
16-17,FRESNO COUNTY PUBLIC LIBRARY,Fresno,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,2420 MARIPOSA ST.,FRESNO,93721,2285,http://www.fresnolibrary.org,"969,012","288,360","54,965",1,29,2,37,"2,803,034","78,930",329,54,197.55,52,"$29,646,580 ","$27,468,068 ","$160,271 ","$100,272 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,917,969 ","$25,185,194 ","$2,276,000 ","$462,719 ","$70,203 ","$738,872 ","$1,004,206 ","$532,922 ","$9,964,190 ","$7,822,133 ","$17,786,323 ",$0 ,"$5,122,871 ","286,629","62,042","92,743","108,496","1,116","57,728",48,"902,953","897,486","25,182","62,499","652,435",632,880,"468,476","8,382",536,"6,688","78,155","105,793","1,840","20,950",Yes,"530,712",371,"2,904,695",CA0040,"3,003"
16-17,FULLERTON PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Santiago,353 W. COMMONWEALTH AVE.,FULLERTON,92832,1796,www.fullertonlibrary.org,"142,234","118,098","10,425",1,0,0,1,"431,867","2,877",58,11,15.2,10,"$4,012,369 ","$3,586,917 ","$13,430 ","$3,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$408,522 ","$3,595,111 ","$256,037 ","$153,894 ","$9,315 ","$83,967 ","$8,861 ","$163,209 ","$1,504,282 ","$562,685 ","$2,066,967 ",$0 ,"$1,272,107 ","92,671","3,477","9,237","14,561",158,"5,267",10,"179,914","1,512",0,"5,680","43,125",50,215,"70,797","1,146",52,827,"16,749","22,318",334,"4,742",Yes,"57,161",56,"340,000",CA0041,380
